osd,hEntrez,humanSymbol,log2fc,adj_p,top_fanout,model_symbols,tissue,system,species,dir,strict
OSD-207,223,ALDH9A1,1.34962,0.00618905,10,CG8665,head,FLYHEAD,fly,UP,True
OSD-207,224,ALDH3A2,1.34962,0.00618905,10,CG8665,head,FLYHEAD,fly,UP,True
OSD-207,248,ALPI,6.55754,4.94661e-08,4,Alp10|Alp6|Alp8|Alp9|phu,head,FLYHEAD,fly,UP,True
OSD-207,249,ALPL,6.55754,4.94661e-08,4,Alp10|Alp6|Alp8|Alp9|phu,head,FLYHEAD,fly,UP,True
OSD-207,250,ALPP,6.55754,4.94661e-08,4,Alp10|Alp6|Alp8|Alp9|phu,head,FLYHEAD,fly,UP,True
OSD-207,251,ALPG,6.55754,4.94661e-08,4,Alp10|Alp6|Alp8|Alp9|phu,head,FLYHEAD,fly,UP,True
OSD-207,278,AMY1C|LOC124905666|LOC124905668|LOC128966568|LOC128966570,4.29515,0.0165349,5,Mal-A8|Mal-B1,head,FLYHEAD,fly,UP,True
OSD-207,279,AMY2A,4.29515,0.0165349,5,Mal-A8|Mal-B1,head,FLYHEAD,fly,UP,True
OSD-207,280,AMY2B,4.29515,0.0165349,5,Mal-A8|Mal-B1,head,FLYHEAD,fly,UP,True
OSD-207,290,ANPEP,-2.12335,0.00535555,9,CG2111|CG31343|CG31445,head,FLYHEAD,fly,DOWN,True
OSD-207,354,KLK3,7.06044,0.00294126,11,CG12256|CG17404|Phae2,head,FLYHEAD,fly,UP,True
OSD-207,383,ARG1,1.19276,0.0281768,2,arg,head,FLYHEAD,fly,UP,True
OSD-207,384,ARG2,1.19276,0.0281768,2,arg,head,FLYHEAD,fly,UP,True
OSD-207,410,ARSA,-1.37749,9.25918e-05,15,CG7402,head,FLYHEAD,fly,DOWN,True
