cid,neighborCid
9797061212402352128,9797061384201043968
9797061246762090496,9797053962497556480
9797061246762090496,9797053996857294848
9797061246762090496,9797054099936509952
9797061246762090496,9797061143682875392
9797061246762090496,9797061178042613760
9797061246762090496,9797061212402352128
9797061246762090496,9797061281121828864
9797061246762090496,9797061315481567232
9797061384201043968,9797060971884183552
9797061384201043968,9797061006243921920
9797061384201043968,9797061178042613760
9797061384201043968,9797061212402352128
9797061384201043968,9797061315481567232
9797061384201043968,9797061349841305600
9797061384201043968,9797061418560782336
9797061384201043968,9797061452920520704
9797062174475026432,5959156398943109120
9797062174475026432,5959156433302847488
9797062174475026432,5959156536382062592
9797062174475026432,9797062105755549696
9797062174475026432,9797062140115288064
9797062174475026432,9797062208834764800
9797062174475026432,9797062243194503168
9797062174475026432,9797062277554241536
9797062414993195008,9797062311913979904
9797062414993195008,9797062346273718272
9797062414993195008,9797062380633456640
9797062414993195008,9797062449352933376
9797062414993195008,9797062483712671744
9797062414993195008,9797062621151625216
9797062414993195008,9797063067828224000
9797062414993195008,9797063102187962368
9797062655511363584,9797062586791886848
9797062655511363584,9797062621151625216
9797062655511363584,9797062689871101952
9797062655511363584,9797062724230840320
9797062655511363584,9797062827310055424
9797062655511363584,9797062861669793792
9797062655511363584,9797063033468485632
9797062655511363584,9797063067828224000
9797063514504822784,9797063411425607680
9797063514504822784,9797063445785346048
9797063514504822784,9797063480145084416
9797063514504822784,9797063548864561152
9797063514504822784,9797063583224299520
9797063514504822784,9797066263283892224
9797063514504822784,9797066297643630592
9797063514504822784,9797066400722845696
9797063583224299520,9797063170907439104
9797063583224299520,9797063205267177472
9797063583224299520,9797063377065869312
9797063583224299520,9797063411425607680
9797063583224299520,9797063514504822784
9797063583224299520,9797063548864561152
9797063583224299520,9797063617584037888
9797063583224299520,9797063651943776256
9797064201699590144,5959154371718545408
9797064201699590144,5959155849187295232
9797064201699590144,5959155883547033600
9797064201699590144,9797064098620375040
9797064201699590144,9797064132980113408
9797064201699590144,9797064167339851776
9797064201699590144,9797064236059328512
9797064201699590144,9797064339138543616
9797065335570956288,9797064579656712192
9797065335570956288,9797065198132002816
9797065335570956288,9797065301211217920
9797065335570956288,9797065369930694656
9797065335570956288,9797065404290433024
9797065335570956288,9797065438650171392
9797065335570956288,9797066022765723648
9797065335570956288,9797066057125462016
9797065541729386496,9797065473009909760
9797065541729386496,9797065507369648128
9797065541729386496,9797065576089124864
9797065541729386496,9797065610448863232
9797065541729386496,9797065644808601600
9797065541729386496,9797533383927005184
9797065541729386496,9797533487006220288
9797065541729386496,9797533521365958656
9797066400722845696,9797063480145084416
9797066400722845696,9797063514504822784
9797066400722845696,9797066297643630592
9797066400722845696,9797066332003368960
9797066400722845696,9797066366363107328
9797066400722845696,9797066435082584064
9797066400722845696,9797066469442322432
9797066400722845696,9797069355660345344
9797067672033165312,9797067328435781632
9797067672033165312,9797067362795520000
9797067672033165312,9797067397155258368
9797067672033165312,9797067603313688576
9797067672033165312,9797067637673426944
9797067672033165312,9797067706392903680
9797067672033165312,9797067740752642048
9797067672033165312,9797067775112380416
9797068531026624512,9797068118709764096
9797068531026624512,9797068153069502464
9797068531026624512,9797068324868194304
9797068531026624512,9797068359227932672
9797068531026624512,9797068462307147776
9797068531026624512,9797068496666886144
9797068531026624512,9797068565386362880
9797068531026624512,9797068599746101248
9797069355660345344,9797063445785346048
9797069355660345344,9797063480145084416
9797069355660345344,9797066400722845696
9797069355660345344,9797066435082584064
9797069355660345344,9797066538161799168
9797069355660345344,9797069321300606976
9797069355660345344,9797069390020083712
9797069355660345344,9797069424379822080
9797069767977205760,9797069733617467392
9797069767977205760,9797069802336944128
9797069767977205760,9797069836696682496
