cid,neighborCid,frsId,facName,naics
5526412399189426176,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322121
5526412399189426176,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322110
5526412399189426176,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322120
5526412399189426176,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322121
5526412433549164544,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322110
5526412433549164544,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322120
5526412433549164544,5526412467908902912,110017413468,"SAPPI NORTH AMERICA, INC. SOMERSET OPERATIONS",322121
5526412433549164544,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322110
5526412433549164544,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322120
5526412433549164544,5526412467908902912,110067015900,SAPPI FINE PAPER &#40;S.D. WARREN &#41; MILL,322121
5526429304180703232,5526429338540441600,110000314749,TASMAN LEATHER GROUP LLC - HARTLAND,316110
5526429304180703232,5526429338540441600,110006618623,HARTLAND WASTEWATER TREATMENT FACILITY,221320
5526429372900179968,5526429338540441600,110000314749,TASMAN LEATHER GROUP LLC - HARTLAND,316110
5526429372900179968,5526429338540441600,110006618623,HARTLAND WASTEWATER TREATMENT FACILITY,221320
5526435798171254784,5526435729451778048,110015743739,CIANBRO FABRICATION AND COATING,23731
5526435798171254784,5526435729451778048,110015743739,CIANBRO FABRICATION AND COATING,23799
5526435798171254784,5526435729451778048,110015743739,CIANBRO FABRICATION AND COATING,327320
5526435798171254784,5526435729451778048,110015743739,CIANBRO FABRICATION AND COATING,332312
5526435798171254784,5526435729451778048,110015743739,CIANBRO FABRICATION AND COATING,332323
5526435798171254784,5526435729451778048,110015743739,CIANBRO FABRICATION AND COATING,332812
5526435798171254784,5526435729451778048,110015743739,CIANBRO FABRICATION AND COATING,332999
5526448236396544000,5526448339475759104,110000763139,KIMBERLY CLARK TISSUE COMPANY,322121
5526448923591311360,5526448992310788096,110032670161,SKILLS RECYCLE,562111
5526448923591311360,5526448992310788096,110032670161,SKILLS RECYCLE,562112
5526448923591311360,5526448992310788096,110032670161,SKILLS RECYCLE,56292
5526449713865293824,5526449645145817088,110000732994,KENNEBEC WASTEWATER TREATMENT FACILITY,221320
5526480294032441344,5526480328392179712,110008433971,HATCH HILL SOLID WASTE DISPOSAL FACILITY,611691
5526480706349301760,5526480328392179712,110008433971,HATCH HILL SOLID WASTE DISPOSAL FACILITY,611691
5526480843788255232,5526481256105115648,110001134415,AMERICAN TISSUE - PARCEL 1,322120
5526484107963400192,5526481153025900544,110015815616,ME ARMY NATL GUARD CAMP KEYES,811118
5526484107963400192,5526481153025900544,110015815616,ME ARMY NATL GUARD CAMP KEYES,928110
5526488540369649664,5526488574729388032,110001298293,GARDINER PAPERBOARD CORPORATION,322130
5526488540369649664,5526488574729388032,110001298293,GARDINER PAPERBOARD CORPORATION,322231
5526488609089126400,5526488574729388032,110001298293,GARDINER PAPERBOARD CORPORATION,322130
5526488609089126400,5526488574729388032,110001298293,GARDINER PAPERBOARD CORPORATION,322231
5526497989297700864,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313210
5526497989297700864,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313230
5526497989297700864,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313310
5526497989297700864,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,314999
5526498710852206592,5526498745211944960,110044974258,SAFETY-KLEEN,562112
5526508331578949632,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313210
5526508331578949632,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313230
5526508331578949632,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,313310
5526508331578949632,5526497954937962496,110001827783,TEX TECH INDUSTRIES INCORPORATED,314999
5526559596308594688,5526566914932867072,110000763111,ROBINSON MANUFACTURING COMPANY,31321
5526559596308594688,5526566914932867072,110000763111,ROBINSON MANUFACTURING COMPANY,313210
5526560901978652672,5526539186624004096,110007273020,AC LAWRENCE LEATHER,31611
5526560901978652672,5526539186624004096,110007273020,AC LAWRENCE LEATHER,316110
5526560936338391040,5526539186624004096,110007273020,AC LAWRENCE LEATHER,31611
5526560936338391040,5526539186624004096,110007273020,AC LAWRENCE LEATHER,316110
5526594608881991680,5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,313230
5526594608881991680,5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,314110
5526594608881991680,5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,326199
5526594608881991680,5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,336360
5526594677601468416,5526595089918328832,110017619727,EWASTE RECYCLING SOLUTIONS LLC,562219
5526595089918328832,5526594677601468416,110038379064,ANGSTROM FIBER AUBURN LLC,313230
