param	nObs	nDet	nCells	paramLabel	dtxsid	dssLabel	cas	detFreq	iceLabel	nAssayEndpoints	functionalUse	inICE	inToxCast
characteristic.18191	62	0	0	Potassium 9-chlorohexadecafluoro-3-oxanonane-1-sulfonate			73606-19-6	0.0	Potassium 9-chlorohexadecafluoro-3-oxanonane-1-sulfonate		Flame retardant	True	False
characteristic.2180	433	0	0	CFC-114	DTXSID8026434		76-14-2	0.0	1,2-Dichloro-1,1,2,2-tetrafluoroethane		Foamer	True	False
characteristic.17683	35	0	0	Potassium 11-chloroeicosafluoro-3-oxaundecane-1-sulfonate			83329-89-9	0.0				False	False
characteristic.18912	725	0	0	Octanoic acid, 4,4,5,5,6,6,7,7,8,8,8-undecafluoro-	DTXSID20874028	2H,2H,3H,3H-Perfluorooctanoic acid	914637-49-3	0.0		497.0		False	True
characteristic.9007	30	0	0	9-Chlorohexadecafluoro-3-oxanonane-1-sulfonate			756426-58-1	0.0				False	False
characteristic.9235	30	0	0	N-Methylperfluorooctanesulfonamidoacetate				0.0				False	False
characteristic.9450	30	0	0	N-Ethylperfluorooctanesulfonamidoacetate				0.0				False	False
characteristic.19594	28	0	0	1-Propanesulfonic acid, 1,1,2,2,3,3,3-heptafluoro-	DTXSID30870531		423-41-6	0.0	Perfluoropropanesulfonic acid		Flame retardant	True	False
parameter.PFDOS	546	0	0	PERFLUORODODECANE SULFONATE	DTXSID00904574		343629-43-6	0.0				False	False
characteristic.8087	592	0	0	Ammonium 4,8-dioxa-3H-perfluorononanoate	DTXSID00874026		958445-44-8	0.0				False	False
parameter.11CL-PF3OUDS	327	0	0	11-CHLOROEICOSAFLUORO-3-OXAUNDECANE-1-SULFONATE	DTXSID401348697			0.0				False	False
characteristic.19505	975	0	0					0.0				False	False
