cid,nFac
9804797307495907328,3
9804824829646340096,2
9804827303547502592,2
9804827372266979328,4
9804827750224101376,39
9804829090253897728,23
9804830086686310400,6
9804832079551135744,28
9804856200087470080,1
9804859258104184832,5
9804862522279329792,30
9804862694078021632,14
9804863037675405312,8
9804863140754620416,31
9804864790022062080,4
9804872864560578560,1
9804878121600548864,2
9804881454495170560,3
9804881798092554240,1
9805029957284397056,1
9805089983747325952,1
9805134891925372928,8
9805147879906476032,1
9805149391734964224,1
9805183717113593856,7
9805191688572895232,35
9805209864874491904,1
9805210277191352320,3
9805226391908646912,5
9805226666786553856,2
9805331189110669312,1
9805366339123019776,2
9805374791618658304,6
9805432275460947968,1
9805537244461662208,7
9805537313181138944,23
9805538550131720192,1
9805542535861370880,7
9805556520274886656,2
9805585519894069248,6
9805596789888253952,1
9805597580162236416,3
9805607510126624768,7
9805607750644793344,2
9805649875684032512,4
9805651628030689280,4
9805656678912229376,26
9805658396899147776,1
9805663275981996032,3
9805664375493623808,3
9805667261711646720,2
9805703820473270272,6
9805759792487071744,1
9805759861206548480,5
9805759964285763584,15
9805760170444193792,1
9805760239163670528,2
9805773158425296896,1
9805783019670208512,16
9805828202726162432,2
9805963889332977664,15
9805963992412192768,1
9805993644866404352,6
9805994881816985600,29
9806006873365676032,11
9806013539154919424,3
9806017902841692160,3
9806026492776284160,3
9806059031448518656,2
9806066865468866560,3
9806101637524094976,1
9806114659864936448,1
9806120397941243904,3
9806132733087318016,22
9806141529180340224,24
9806143109728305152,21
9806164344046616576,1
9806164481485570048,1
9806164859442692096,1
9806187468150538240,3
9806199528418705408,15
9806200765369286656,1
9806239179556782080,18
9806239385715212288,22
9806239420074950656,6
9806239935471026176,18
9806242306292973568,7
9806250964947042304,27
9806256874822041600,3
9806268076096749568,18
9806280205084393472,3
9806282232308957184,2
9806285359045148672,10
9806289825811136512,11
9817277382946455552,1
9817324249629589504,1
9817847617164410880,11
9818364834306064384,30
9818382701370015744,1
9824034362935476224,1
9824668609346011136,6
9824670670930313216,9
9827566681478660096,1
9827615025630543872,1
9829412143026405376,1
9829508453373050880,1
9829515290960986112,3
9829686436817797120,2
9829733818897006592,9
9829828720494379008,3
9830034741485633536,1
9830038692855545856,40
9830040926238539776,45
9830041132396969984,8
9830046526875893760,21
9830047214070661120,13
9830048004344643584,2
9830049310014701568,33
9830049722331561984,26
9830050134648422400,22
9830055357328654336,1
9830056319401328640,2
9830072605917315072,3
9830072880795222016,15
9830124557841727488,1
9830216779379507200,1
9830237807539388416,1
9830254609451450368,4
9830256911553921024,1
9830257117712351232,2
9830277252519034880,8
9830281513126592512,1
9830298658636038144,1
9830326902340976640,1
9830333327612051456,1
9830346693550276608,1
9830348823854055424,5
9830409468792274944,1
9830413866838786048,2
9830414863271198720,2
9830415069429628928,19
9830416684337332224,11
9830418402324250624,5
9830505263742844928,14
9830556494112751616,4
9830588620468125696,3
9830603979271176192,7
9830624629473935360,8
9830624766912888832,59
9830634799956492288,3
9830709326229012480,1
9830794194782781440,83
9830794607099641856,11
9830808488433942528,1
9830903080793669632,42
9830914556946284544,12
9830929434712997888,1
9831072611742777344,2
9831267397099585536,20
9831276261912084480,3
9831308697505103872,5
9831462594773254144,3
9831528290593013760,6
9831918101824798720,1
9832059526507921408,1
9833094338748350464,1
