disease,study,title,tech,pmid
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-GEOD-72267,Blood transcriptomics of drug-naive sporadic Parkinson's disease patients,,26510930.0
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-GEOD-7307,Human Body Index - Transcription profiling by array of human samples with various different diseases,,
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-GEOD-7621,Transcription profiling of human substantia nigra from postmortem brain of Parkinsons disease patients (PD),,17571925.0
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-MEXP-1416,Transcription profiling of melanized domamine neurons isolated from male and female patients with Parkinson disease to investigate gender differences,,17412603.0
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-MTAB-9950,mRNA expression profiling of mitochondrial subunits in subjects with Parkinson’s disease,,
http://purl.obolibrary.org/obo/MONDO_0005180,http://purl.org/okn/wobd/study/E-PROT-65,Epigenetic inactivation of the autophagy-lysosomal system in the Parkinson’s disease appendix,,32151270.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-15471,Whole-Tissue Gene Expression Study of Pancreatic Ductal Adenocarcinoma,,19260470.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-19279,S100P is a metastasis-associated gene that facilitates transendothelial migration of pancreatic cancer cells [HG-U133A],,23007696.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-19280,S100P is a metastasis-associated gene that facilitates transendothelial migration of pancreatic cancer cells [HG-U133B],,23007696.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-22334,Induction of apoptotic processes in Capan-1 pancreatic carcinoma cells by restoration of p16INK4a expression,,22049060.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-22336,UDP-GlcNAc 2-epimerase/ManNAc kinase (GNE) is an inducer of apoptotic processes in Capan-1 pancreatic carcinoma cells: GNE silencing,,22049060.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-22973,An Invasive Gene Expression Signature in Pancreas Cancer,,22487523.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-25820,Global microRNA expression profiling of microdissected tissues from diseased and non-diseased pancreatic tissues,,21953293.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-32277,Kras is required for pancreatic tumor maintenance through regulation of hexosamine biosynthesis and the non-oxidative pentose phosphate pathway,,22541435.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-57728,Expression data from AsPC1 cells treated with ICG-001,,
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-GEOD-63776,Altering cancer transcriptomes using epigenomic inhibitors [RNA-Seq],,26191083.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-MTAB-11476,Axon Guidance Receptor ROBO3 Modulates Subtype Identity and Prognosis via AXL-associated Inflammatory Network in Pancreatic Cancer,,
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-MTAB-2551,KFCPA_vs_KF,,
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-MTAB-2706,RNA-seq of 675 commonly used human cancer cell lines,,25485619.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-MTAB-2770,RNA-seq of 1019 human cancer cell lines from the Cancer Cell Line Encyclopedia,,31068700.0
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-MTAB-6620,RNA-seq to investigate differentially expressed genes in KPC mouse PDAC treated with CSF-1R small molecule inhibitor AZD7507 and/or the CXCR2 small molecule inhibitor AZD5069,,
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-MTAB-8792,"RNA-SEQ analysis of KMC murine pancreatic ductal adenocarcinoma (PDAC) cell line upon siRNA depletion of MYC, KRas or Miz1 (aka Zbtb17)",,
http://purl.obolibrary.org/obo/MONDO_0005184,http://purl.org/okn/wobd/study/E-PROT-144,Identification of carcinogenesis and tumor progression processes in pancreatic ductal adenocarcinoma using high-throughput proteomics,,35626021.0
http://purl.obolibrary.org/obo/MONDO_0005271,http://purl.org/okn/wobd/study/E-MEXP-2796,Transcription profiling by array of mouse spleen in response to egg ovomucoid treatment,,
http://purl.obolibrary.org/obo/MONDO_0005301,http://purl.org/okn/wobd/study/E-GEOD-14386,Transcription profiling of human peripheral blood mononuclear cells in vitro from CIS patients after Interferon beta-1a treatment,,19265172.0
http://purl.obolibrary.org/obo/MONDO_0005301,http://purl.org/okn/wobd/study/E-GEOD-26104,Search for specific biomarkers of IFN-beta bioactivity in patients with MS,,21886806.0
http://purl.obolibrary.org/obo/MONDO_0005301,http://purl.org/okn/wobd/study/E-GEOD-60424,Next generation sequencing of human immune cell subsets across diseases,,25314013.0
http://purl.obolibrary.org/obo/MONDO_0005301,http://purl.org/okn/wobd/study/E-GEOD-77598,Expression of MERTK based on Multiple Sclerosis (MS) risk haplotype,,
http://purl.obolibrary.org/obo/MONDO_0005301,http://purl.org/okn/wobd/study/E-MTAB-2973,Physical activity diminish fatigue and systemic interferon response in multiple sclerosis,,
http://purl.obolibrary.org/obo/MONDO_0005301,http://purl.org/okn/wobd/study/E-MTAB-69,Transcription profiling by array of paired cerebrospinal fluid and peripheral blood lymphocyte samples from multiple sclerosis patients and controls with other non-inflammatory neurological disorders,,19944761.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-GEOD-18105,Stage II and stage III colorectal cancer,,20162577.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-GEOD-4183,"Transcription profiling of human colon biopsy samples from healthy individuals and patients with colon adenomas, colorectal cancer or inflammatory bowel disease",,18776587.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-GEOD-44097,Beta-catenin target genes in colorectal carcinoma cell lines with deregulated Wnt/beta-catenin signaling,,24467841.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-GEOD-50760,Gene expression profiling study by RNA-seq in colorectal cancer,,25049118.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-GEOD-95132,RNA-seq of colorectal cancer primary tumor and adjacent colon tissue,,28459462.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-MEXP-1194,"Transcription profiling by array of human colorectal cancer epithelial (HCT116) p53 null cells treated with SN38 for 6, 12 and 24h",,22665525.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-MEXP-3715,Transcription profiling by array of paired tumour and normal samples from colorectal cancer patients undergoing colonic resection to investigate quality assessment and data handling methods for Affymetrix Gene 1.0 ST arrays with variable RNA integrity,,
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-MEXP-3756,Blood Gene Expression Profiling in Colorectal Cancer,,
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-MTAB-6009,Gene expression microarray analysis of whole intestine from Kaiso-/- mice,,
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-MTAB-6403,Genome-wide profiling reveals cancer-related genes have switched alternative polyadenylation sites in colorectal cancer,,
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-MTAB-7354,Transcription profiling by array of the effect of hypoxia in tumour-initiating cells derived from a colorectal cancer patient,,
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-PROT-100,Biomarkers discovery for Colorectal cancer liver metastasis,,29535834.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-PROT-101,Biomarkers discovery for Colorectal cancer,,29535834.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-PROT-103,Quantitative proteomics analysis of paired colorectal cancer and non-tumorigenic tissues reveal proteins and pathways perturbed in colorectal cancer,,26054784.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-PROT-106,Global proteome analysis of paired colorectal cancer sample using LC-MS/MS,,32166002.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-PROT-107,Identification and validation of stage-associated serum biomarkers in colorectal cancer stages,,31502404.0
http://purl.obolibrary.org/obo/MONDO_0005575,http://purl.org/okn/wobd/study/E-PROT-108,Tissue-exudative extracellular vesicles of colorectal cancer,,33579815.0
