go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0001891,phagocytic cup,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0002250,adaptive immune response,Biological Process,5
http://purl.obolibrary.org/obo/GO_1990000,amyloid fibril formation,Biological Process,5
http://purl.obolibrary.org/obo/GO_0016604,nuclear body,Cellular Component,5
http://purl.obolibrary.org/obo/GO_0042982,amyloid precursor protein metabolic process,Biological Process,5
http://purl.obolibrary.org/obo/GO_0001228,"DNA-binding transcription activator activity, RNA polymerase II-specific",Molecular Function,5
http://purl.obolibrary.org/obo/GO_0001822,kidney development,Biological Process,5
http://purl.obolibrary.org/obo/GO_0000976,transcription cis-regulatory region binding,Molecular Function,5
http://purl.obolibrary.org/obo/GO_0010508,positive regulation of autophagy,Biological Process,5
http://purl.obolibrary.org/obo/GO_0006959,humoral immune response,Biological Process,4
http://purl.obolibrary.org/obo/GO_1990418,response to insulin-like growth factor stimulus,Biological Process,4
http://purl.obolibrary.org/obo/GO_0001227,"DNA-binding transcription repressor activity, RNA polymerase II-specific",Molecular Function,4
http://purl.obolibrary.org/obo/GO_0009408,response to heat,Biological Process,4
http://purl.obolibrary.org/obo/GO_0070588,calcium ion transmembrane transport,Biological Process,4
http://purl.obolibrary.org/obo/GO_0002265,astrocyte activation involved in immune response,Biological Process,4
http://purl.obolibrary.org/obo/GO_0005796,Golgi lumen,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0031293,membrane protein intracellular domain proteolysis,Biological Process,4
http://purl.obolibrary.org/obo/GO_1905907,negative regulation of amyloid fibril formation,Biological Process,4
http://purl.obolibrary.org/obo/GO_0035255,ionotropic glutamate receptor binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0070821,tertiary granule membrane,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0005125,cytokine activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0007010,cytoskeleton organization,Biological Process,4
http://purl.obolibrary.org/obo/GO_1905908,positive regulation of amyloid fibril formation,Biological Process,4
http://purl.obolibrary.org/obo/GO_0035091,phosphatidylinositol binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0030276,clathrin binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_1900272,negative regulation of long-term synaptic potentiation,Biological Process,4
http://purl.obolibrary.org/obo/GO_1990090,cellular response to nerve growth factor stimulus,Biological Process,4
http://purl.obolibrary.org/obo/GO_0019903,protein phosphatase binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0150104,transport across blood-brain barrier,Biological Process,4
http://purl.obolibrary.org/obo/GO_2000463,positive regulation of excitatory postsynaptic potential,Biological Process,4
http://purl.obolibrary.org/obo/GO_0019882,antigen processing and presentation,Biological Process,4
http://purl.obolibrary.org/obo/GO_0019828,aspartic-type endopeptidase inhibitor activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0010595,positive regulation of endothelial cell migration,Biological Process,4
http://purl.obolibrary.org/obo/GO_0001819,positive regulation of cytokine production,Biological Process,4
http://purl.obolibrary.org/obo/GO_0006879,intracellular iron ion homeostasis,Biological Process,4
http://purl.obolibrary.org/obo/GO_0016607,nuclear speck,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0050435,amyloid-beta metabolic process,Biological Process,4
http://purl.obolibrary.org/obo/GO_0045211,postsynaptic membrane,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0031667,response to nutrient levels,Biological Process,4
http://purl.obolibrary.org/obo/GO_0031648,protein destabilization,Biological Process,4
http://purl.obolibrary.org/obo/GO_2000010,positive regulation of protein localization to cell surface,Biological Process,4
http://purl.obolibrary.org/obo/GO_0010468,regulation of gene expression,Biological Process,4
http://purl.obolibrary.org/obo/GO_0045742,positive regulation of epidermal growth factor receptor signaling pathway,Biological Process,4
