go,goLabel,ns,k
http://purl.obolibrary.org/obo/GO_0098609,cell-cell adhesion,Biological Process,4
http://purl.obolibrary.org/obo/GO_0034220,monoatomic ion transmembrane transport,Biological Process,4
http://purl.obolibrary.org/obo/GO_1900026,positive regulation of substrate adhesion-dependent cell spreading,Biological Process,4
http://purl.obolibrary.org/obo/GO_0005516,calmodulin binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_1990782,protein tyrosine kinase binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0009966,regulation of signal transduction,Biological Process,4
http://purl.obolibrary.org/obo/GO_0050714,positive regulation of protein secretion,Biological Process,4
http://purl.obolibrary.org/obo/GO_0010815,bradykinin catabolic process,Biological Process,4
http://purl.obolibrary.org/obo/GO_0050728,negative regulation of inflammatory response,Biological Process,4
http://purl.obolibrary.org/obo/GO_0086091,regulation of heart rate by cardiac conduction,Biological Process,4
http://purl.obolibrary.org/obo/GO_0005262,calcium channel activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0050729,positive regulation of inflammatory response,Biological Process,4
http://purl.obolibrary.org/obo/GO_0031594,neuromuscular junction,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0005216,monoatomic ion channel activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_1900223,positive regulation of amyloid-beta clearance,Biological Process,4
http://purl.obolibrary.org/obo/GO_0019722,calcium-mediated signaling,Biological Process,4
http://purl.obolibrary.org/obo/GO_0032259,methylation,Biological Process,4
http://purl.obolibrary.org/obo/GO_0042734,presynaptic membrane,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0043124,negative regulation of canonical NF-kappaB signal transduction,Biological Process,4
http://purl.obolibrary.org/obo/GO_0046983,protein dimerization activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0043130,ubiquitin binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0051262,protein tetramerization,Biological Process,4
http://purl.obolibrary.org/obo/GO_0032880,regulation of protein localization,Biological Process,4
http://purl.obolibrary.org/obo/GO_0007507,heart development,Biological Process,4
http://purl.obolibrary.org/obo/GO_0043123,positive regulation of canonical NF-kappaB signal transduction,Biological Process,4
http://purl.obolibrary.org/obo/GO_0004197,cysteine-type endopeptidase activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0008234,cysteine-type peptidase activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0008217,regulation of blood pressure,Biological Process,4
http://purl.obolibrary.org/obo/GO_0032588,trans-Golgi network membrane,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0007613,memory,Biological Process,4
http://purl.obolibrary.org/obo/GO_0015026,coreceptor activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0042383,sarcolemma,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0007623,circadian rhythm,Biological Process,4
http://purl.obolibrary.org/obo/GO_1901224,positive regulation of non-canonical NF-kappaB signal transduction,Biological Process,4
http://purl.obolibrary.org/obo/GO_0030658,transport vesicle membrane,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0030307,positive regulation of cell growth,Biological Process,4
http://purl.obolibrary.org/obo/GO_0008201,heparin binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_1904115,axon cytoplasm,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0000226,microtubule cytoskeleton organization,Biological Process,4
http://purl.obolibrary.org/obo/GO_0030182,neuron differentiation,Biological Process,4
http://purl.obolibrary.org/obo/GO_0046889,positive regulation of lipid biosynthetic process,Biological Process,4
http://purl.obolibrary.org/obo/GO_0003690,double-stranded DNA binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0008168,methyltransferase activity,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0042605,peptide antigen binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0032731,positive regulation of interleukin-1 beta production,Biological Process,4
http://purl.obolibrary.org/obo/GO_0006325,chromatin organization,Biological Process,4
http://purl.obolibrary.org/obo/GO_0030246,carbohydrate binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0006281,DNA repair,Biological Process,4
http://purl.obolibrary.org/obo/GO_0043161,proteasome-mediated ubiquitin-dependent protein catabolic process,Biological Process,4
http://purl.obolibrary.org/obo/GO_0045597,positive regulation of cell differentiation,Biological Process,4
http://purl.obolibrary.org/obo/GO_0005874,microtubule,Cellular Component,4
http://purl.obolibrary.org/obo/GO_0051726,regulation of cell cycle,Biological Process,4
http://purl.obolibrary.org/obo/GO_0071222,cellular response to lipopolysaccharide,Biological Process,4
http://purl.obolibrary.org/obo/GO_0015631,tubulin binding,Molecular Function,4
http://purl.obolibrary.org/obo/GO_0000981,"DNA-binding transcription factor activity, RNA polymerase II-specific",Molecular Function,4
