sym,pw,pwLabel
CYCS,https://identifiers.org/reactome/R-HSA-9707564,Cytoprotection by HMOX1
DHCR24,https://identifiers.org/reactome/R-HSA-191273,Cholesterol biosynthesis
DHCR24,https://identifiers.org/reactome/R-HSA-6807047,Cholesterol biosynthesis via desmosterol (Bloch pathway)
DHCR24,https://identifiers.org/reactome/R-HSA-6807062,Zymostenol biosynthesis via lathosterol (Kandutsch-Russell pathway)
DLG4,https://identifiers.org/reactome/R-HSA-1236394,Signaling by ERBB4
DLG4,https://identifiers.org/reactome/R-HSA-399719,Trafficking of AMPA receptors
DLG4,https://identifiers.org/reactome/R-HSA-438066,"Unblocking of NMDA receptors, glutamate binding and activation"
DLG4,https://identifiers.org/reactome/R-HSA-442982,Ras activation upon Ca2+ influx through NMDA receptor
DLG4,https://identifiers.org/reactome/R-HSA-447038,NrCAM interactions
DLG4,https://identifiers.org/reactome/R-HSA-451308,Activation of Ca-permeable Kainate Receptor
DLG4,https://identifiers.org/reactome/R-HSA-5625900,RHO GTPases activate CIT
DLG4,https://identifiers.org/reactome/R-HSA-5673001,RAF/MAP kinase cascade
DLG4,https://identifiers.org/reactome/R-HSA-5682910,LGI-ADAM interactions
DLG4,https://identifiers.org/reactome/R-HSA-6794361,Neurexins and neuroligins
DLG4,https://identifiers.org/reactome/R-HSA-8849932,Synaptic adhesion-like molecules
DLG4,https://identifiers.org/reactome/R-HSA-9609736,Assembly and cell surface presentation of NMDA receptors
DLG4,https://identifiers.org/reactome/R-HSA-9617324,Negative regulation of NMDA receptor-mediated neuronal transmission
DLG4,https://identifiers.org/reactome/R-HSA-9620244,Long-term potentiation
DOCK3,https://identifiers.org/reactome/R-HSA-9013149,RAC1 GTPase cycle
DOCK3,https://identifiers.org/reactome/R-HSA-9013404,RAC2 GTPase cycle
DOCK3,https://identifiers.org/reactome/R-HSA-9013408,RHOG GTPase cycle
DOCK3,https://identifiers.org/reactome/R-HSA-9032759,NTRK2 activates RAC1
DOCK3,https://identifiers.org/reactome/R-HSA-983231,Factors involved in megakaryocyte development and platelet production
DSG2,https://identifiers.org/reactome/R-HSA-351906,Apoptotic cleavage of cell adhesion  proteins
DSG2,https://identifiers.org/reactome/R-HSA-6805567,Keratinization
