fips,lat,lng
26045,42.6,-84.81
26049,43.01,-83.67
26051,43.98,-84.49
26055,44.75,-85.6
26057,43.38,-84.63
26059,41.91,-84.64
26061,47.24,-88.45
26063,43.88,-83.27
26065,42.66,-84.48
26067,42.94,-85.15
26069,44.32,-83.44
26073,43.59,-84.77
26075,42.24,-84.47
26077,42.23,-85.55
26079,44.73,-85.17
26081,42.97,-85.64
26087,43.05,-83.19
26089,44.97,-85.83
26091,41.91,-84.03
26093,42.56,-83.85
26099,42.61,-82.95
26101,44.24,-86.32
26103,46.48,-87.66
26105,43.95,-86.44
26109,45.5,-87.57
26111,43.75,-84.28
26113,44.33,-85.2
26115,41.87,-83.55
26117,43.28,-85.14
26121,43.29,-86.18
26123,43.42,-85.8
26125,42.58,-83.33
26127,43.78,-86.43
26129,44.34,-84.17
26131,46.86,-89.31
26133,43.95,-85.45
26135,44.68,-84.09
26137,45.14,-84.66
26139,42.98,-86.06
26145,43.41,-84.03
26147,42.87,-82.6
26149,41.84,-85.56
26151,43.3,-82.81
26153,45.95,-86.25
26155,42.98,-84.14
26157,43.42,-83.42
26159,42.28,-86.06
26161,42.26,-83.79
26163,42.32,-83.21
26165,44.24,-85.41
27001,46.53,-93.71
27003,45.22,-93.28
27005,46.81,-95.84
27007,47.48,-94.87
27009,45.59,-94.16
27013,44.15,-94.0
27015,44.31,-94.46
27017,46.65,-93.11
27019,44.84,-93.77
27021,46.52,-94.43
27023,44.95,-95.36
27025,45.49,-92.96
27027,46.86,-96.75
27033,43.86,-95.11
27035,46.47,-94.11
27037,44.78,-93.13
27039,44.02,-92.79
27041,45.91,-95.32
27043,43.69,-94.12
27045,43.82,-91.96
27047,43.65,-93.36
27049,44.4,-92.7
27051,45.91,-95.89
27053,44.97,-93.38
27055,43.59,-91.56
27057,46.91,-95.06
27059,45.52,-93.23
27061,47.3,-93.34
27063,43.62,-94.98
27065,45.85,-93.35
27067,45.22,-95.01
27069,48.91,-97.01
27073,44.95,-95.71
27075,47.03,-91.67
27079,44.36,-93.77
27083,44.6,-95.67
27085,44.85,-94.12
27091,43.7,-94.53
27093,45.16,-94.51
27097,45.9,-94.32
27103,44.24,-94.21
27105,43.62,-95.59
27109,44.04,-92.49
27111,46.46,-95.67
27113,48.11,-96.17
27115,45.92,-92.94
27119,47.67,-96.12
27121,45.67,-95.44
27123,44.99,-93.11
27129,44.76,-95.02
27131,44.43,-93.3
27133,43.65,-96.2
27137,47.02,-92.31
27139,44.7,-93.53
27141,45.46,-93.8
27143,44.56,-94.29
27145,45.54,-94.47
27147,43.99,-93.2
27149,45.58,-95.9
27155,45.8,-96.49
27157,44.32,-92.16
27159,46.68,-95.09
27163,44.98,-92.91
27165,43.98,-94.62
27169,44.01,-91.58
27171,45.18,-93.88
27173,44.64,-96.16
28001,31.54,-91.38
28003,34.93,-88.51
28007,33.05,-89.58
28011,33.76,-90.82
28015,33.33,-89.75
28017,33.89,-89.0
28023,32.17,-88.81
28025,33.6,-88.64
28027,34.2,-90.57
28029,31.92,-90.37
28033,34.92,-89.97
28035,31.31,-89.3
28039,30.92,-88.59
28043,33.77,-89.81
28045,30.55,-89.5
28047,30.41,-89.05
28049,32.28,-90.26
28051,33.08,-89.85
28057,34.26,-88.4
28059,30.41,-88.53
28061,31.98,-89.28
28067,31.67,-89.14
28069,32.76,-88.65
28071,34.35,-89.52
28073,31.33,-89.42
28075,32.36,-88.75
28081,34.26,-88.69
28083,33.51,-90.19
28085,31.5,-90.44
28087,33.45,-88.45
28089,32.53,-90.06
28091,31.14,-89.81
28093,34.81,-89.56
28095,33.9,-88.51
28099,32.77,-89.1
28101,32.43,-89.11
28105,33.45,-88.82
28107,34.42,-89.93
28109,30.76,-89.56
28113,31.19,-90.46
28115,34.24,-89.0
28117,34.5,-88.63
28121,32.28,-90.03
28123,32.35,-89.56
28129,31.83,-89.43
28133,33.53,-90.57
28139,34.72,-88.94
28141,34.69,-88.22
28145,34.49,-89.02
28149,32.38,-90.84
28151,33.43,-91.05
28155,33.54,-89.27
28159,33.12,-89.05
28161,34.16,-89.63
28163,32.86,-90.4
29001,40.19,-92.57
29003,39.93,-94.82
29007,39.16,-91.87
29009,36.67,-93.86
29011,37.49,-94.27
29013,38.25,-94.33
29015,38.45,-93.2
29019,38.95,-92.34
29021,39.76,-94.84
29023,36.76,-90.4
29025,39.55,-94.04
29027,38.83,-91.98
29029,38.0,-92.74
29031,37.29,-89.62
29033,39.36,-93.49
29037,38.75,-94.38
29039,37.86,-94.01
29041,39.52,-92.89
29043,37.02,-93.19
29047,39.24,-94.44
29049,39.74,-94.23
29051,38.57,-92.19
29053,38.96,-92.74
29055,38.1,-91.31
29059,37.64,-93.09
29061,39.91,-93.96
