gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
TRIM14,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,2.15,,,,9,B
IL1B,3,3,curated_disease_gene|differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn|spoke-okn,2.1,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",9,B
SLC2A4RG,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.88,,,,9,B
AIF1,3,3,curated_disease_gene|differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn|spoke-okn,1.71,2.0,"{""down"": 1, ""up"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'; 'relapsing-remitting multiple sclerosis' vs 'normal'",9,B
LRRIQ4,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.65,,,,9,B
TET2,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.65,,,,9,B
AGBL2,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.63,,,,9,B
HLA-F,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.61,,,,9,B
ZMIZ1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.59,,,,9,B
MLANA,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.53,,,,9,B
OS9,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.52,,,,9,B
SLC44A2,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.52,,,,9,B
TOP3A,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,1.5,,,,9,B
ZBTB46,3,3,clinical_biomarker|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn,1.42,1.0,"{""down"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",9,B
CYP27B1,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,1.41,,,,9,B
