gene,n_evidence_types,n_sources,evidence_types,sources,pigean_score,de_assays,de_direction,de_contexts,consensus_score,tier
CD69,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,6.38,,,,9,B
HLA-DRB1,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,6.04,,,,9,B
TRAF3,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,5.79,,,,9,B
TNFSF14,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,5.74,,,,9,B
SLAMF7,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,5.21,,,,9,B
NDFIP1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,5.21,,,,9,B
POU2AF1,3,3,clinical_biomarker|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn,5.19,1.0,"{""up"": 1}","'multiple sclerosis; cerebrospinal fluid' vs 'neurological disease, non-inflammatory; cerebrospinal fluid'",9,B
CBLB,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,5.13,,,,9,B
ANKRD55,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,5.07,,,,9,B
GFI1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,4.97,,,,9,B
EVI5,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,4.95,,,,9,B
IFI30,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,4.76,,,,9,B
NCF4,3,3,curated_disease_gene|differential_expression|genetic_association,digcfdekg|gene-expression-atlas-okn|spoke-okn,4.46,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',9,B
PITPNM2,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,4.44,,,,9,B
NLRC5,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,4.08,,,,9,B
IQGAP1,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,4.05,,,,9,B
LBH,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,4.01,,,,9,B
IFNG,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,4.0,,,,9,B
AHI1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,3.81,,,,9,B
TNFAIP8,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,3.5,,,,9,B
EPS15L1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,3.24,,,,9,B
TNIP3,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,3.21,,,,9,B
ETV7,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,3.09,,,,9,B
ZNHIT3,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,3.05,,,,9,B
CD4,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,3.04,,,,9,B
IL6,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,2.97,,,,9,B
IL4,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,2.86,,,,9,B
HLA-B,3,3,clinical_biomarker|differential_expression|genetic_association,biomarkerkg|digcfdekg|gene-expression-atlas-okn,2.75,1.0,"{""up"": 1}",'relapsing-remitting multiple sclerosis' vs 'normal',9,B
IL2,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,2.5,,,,9,B
VANGL2,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,2.41,,,,9,B
TGFB1,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,2.39,,,,9,B
CCL2,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,2.38,,,,9,B
IQCB1,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,2.37,,,,9,B
CD8A,3,3,curated_disease_gene|genetic_association|pathway_go_membership,digcfdekg|prokn|spoke-okn,2.36,,,,9,B
MTHFR,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,2.34,,,,9,B
RGS14,3,3,clinical_biomarker|curated_disease_gene|genetic_association,biomarkerkg|digcfdekg|spoke-okn,2.24,,,,9,B
