fips,n_chem,n_chem_obs,n_media
26093,144,144,1
26095,141,141,1
26097,142,142,1
26099,144,144,1
26101,146,146,1
26103,146,146,1
26105,146,146,1
26107,144,144,1
26109,145,145,1
26111,151,151,1
26113,148,148,1
26115,143,143,1
26117,146,146,1
26119,147,147,1
26121,146,146,1
26123,144,144,1
26125,145,145,1
26127,143,143,1
26129,144,144,1
26131,142,142,1
26133,144,144,1
26135,143,143,1
26137,143,143,1
26139,149,149,1
26141,143,143,1
26143,142,142,1
26145,144,144,1
26147,146,146,1
26149,147,147,1
26151,142,142,1
26153,143,143,1
26155,146,146,1
26157,143,143,1
26159,145,145,1
26161,148,148,1
26163,151,151,1
26165,151,151,1
27001,151,151,1
27003,149,149,1
27005,133,133,1
27007,148,148,1
27009,131,131,1
27011,130,130,1
27013,150,150,1
27015,152,152,1
27017,143,143,1
27019,157,157,1
27021,150,150,1
27023,146,146,1
27025,149,149,1
27027,134,134,1
27029,150,150,1
27031,149,149,1
27033,147,147,1
27035,154,154,1
27037,161,161,1
27039,148,148,1
27041,146,146,1
27043,147,147,1
27045,149,149,1
27047,158,158,1
27049,160,160,1
27051,122,122,1
27053,172,172,1
27055,146,146,1
27057,134,134,1
27059,147,147,1
27061,158,158,1
27063,148,148,1
27065,145,145,1
27067,146,146,1
27069,133,133,1
27071,155,155,1
27073,144,144,1
27075,152,152,1
27077,140,140,1
27079,147,147,1
27081,122,122,1
27083,150,150,1
27085,151,151,1
27087,137,137,1
27089,132,132,1
27091,148,148,1
27093,149,149,1
27095,142,142,1
27097,154,154,1
27099,148,148,1
27101,132,132,1
27103,150,150,1
27105,149,149,1
27107,146,146,1
27109,156,156,1
27111,154,154,1
27113,125,125,1
27115,146,146,1
27117,146,146,1
27119,137,137,1
27121,145,145,1
27123,168,168,1
27125,122,122,1
27127,151,151,1
27129,148,148,1
27131,147,147,1
27133,146,146,1
27135,159,159,1
27137,160,160,1
27139,160,160,1
27141,149,149,1
27143,145,145,1
27145,160,160,1
27147,150,150,1
27149,138,138,1
27151,146,146,1
27153,149,149,1
27155,123,123,1
27157,142,142,1
27159,145,145,1
27161,150,150,1
27163,185,185,1
27165,146,146,1
27167,131,131,1
27169,152,152,1
27171,153,153,1
27173,132,132,1
28001,145,145,1
28003,143,143,1
28005,143,143,1
28007,143,143,1
28009,140,140,1
28011,142,142,1
28013,144,144,1
28015,140,140,1
28017,144,144,1
28019,143,143,1
28021,147,147,1
28023,144,144,1
28025,144,144,1
28027,144,144,1
28029,140,140,1
28031,144,144,1
28033,147,147,1
28035,145,145,1
28037,144,144,1
28039,141,141,1
28041,142,142,1
28043,146,146,1
28045,144,144,1
28047,146,146,1
28049,149,149,1
28051,142,142,1
28053,140,140,1
28055,140,140,1
28057,144,144,1
28059,148,148,1
28061,144,144,1
28063,143,143,1
28065,145,145,1
28067,147,147,1
28069,142,142,1
28071,141,141,1
28073,145,145,1
28075,147,147,1
28077,152,152,1
28079,140,140,1
28081,147,147,1
28083,144,144,1
28085,143,143,1
28087,151,151,1
28089,151,151,1
28091,143,143,1
28093,142,142,1
28095,144,144,1
28097,140,140,1
28099,141,141,1
28101,142,142,1
28103,144,144,1
28105,143,143,1
28107,143,143,1
28109,145,145,1
28111,148,148,1
28113,144,144,1
28115,144,144,1
28117,141,141,1
28119,140,140,1
28121,144,144,1
28123,144,144,1
28125,140,140,1
28127,143,143,1
28129,147,147,1
28131,145,145,1
28133,140,140,1
28135,140,140,1
28137,144,144,1
28139,143,143,1
28141,146,146,1
28143,142,142,1
28145,143,143,1
28147,142,142,1
28149,154,154,1
28151,144,144,1
28153,149,149,1
28155,140,140,1
28157,143,143,1
28159,146,146,1
28161,141,141,1
28163,143,143,1
29001,141,141,1
29003,142,142,1
29005,142,142,1
29007,143,143,1
29009,141,141,1
29011,141,141,1
29013,142,142,1
29015,141,141,1
29017,143,143,1
29019,145,145,1
29021,144,144,1
29023,145,145,1
29025,140,140,1
29027,143,143,1
29029,141,141,1
29031,145,145,1
29033,140,140,1
29035,140,140,1
29037,144,144,1
29039,142,142,1
29041,141,141,1
29043,141,141,1
29045,140,140,1
29047,144,144,1
29049,144,144,1
29051,142,142,1
29053,146,146,1
29055,142,142,1
