fips,"Overall(Socioeconomic Status,Household Characteristics,Racial & Ethnic Minority Status,Housing Type & Transportation)",adult obesity,air pollution - particulate matter,children in poverty,children in single-parent households,drinking water violations,drug overdose deaths,firearm fatalities,food insecurity,frequent mental distress,homicides,income inequality,life expectancy,limited access to healthy foods,low birthweight,mental health providers,motor vehicle crash deaths,physical inactivity,poor or fair health,premature death,preventable hospital stays,primary care physicians,residential segregation - black/white,rural,severe housing cost burden,severe housing problems,unemployment,uninsured
24037,0.303,36.5,7.5,10.1,20.04150284,0.0,0.029337471873,0.0090087703029,9.6,14.0,0.0024114429313,3.965337334,78.301977094,4.1559850511,6.5404298874,715.0,0.012691804902,21.4,11.3,6.953857424900001,3.314,2440.0,46.993125668,50.417970347,11.380964403,12.15782984,4.4794525307,5.0487772007
24039,0.8546,40.4,7.0,30.4,31.80952381,0.0,0.043000104243,0.010109650828,14.8,15.8,,5.5647264261,75.752399651,5.4742669044,10.090634441,323.0,0.012762392005,30.4,17.5,8.8342224731,2.511,3182.0,41.320030797,45.791462032,19.761256001,22.857142857,7.5929283772,5.9313413859
24041,0.2419,32.0,7.2,15.0,25.549768519,0.0,0.035996796285,0.0070080106953,10.8,13.9,,4.5985537741,79.302998531,3.2515587257,7.2243346008,206.0,0.008823856639200002,19.8,10.5,8.2558086775,1.43,948.0,20.939657302,54.655656133,14.251146205,13.580980684,5.2643508812,7.3689999214
24043,0.5987,37.4,7.0,18.4,24.667835805,0.0,0.060910882524,0.011936482,13.2,15.0,0.004937572935999999,4.7504234692,75.910312535,5.4969612905,9.2991913747,354.0,0.011774212386,26.4,13.2,9.4901995692,3.3529999999999998,1799.0,44.490451223,29.489927423,12.33266076,14.044793433,5.3603466836,6.335127745
24045,0.8199,38.7,7.4,18.6,32.013157895,1.0,0.036358488258999996,0.010846533177,13.2,15.5,0.0051374404161,4.544881361,76.090898593,9.0547575281,9.1434398368,259.0,0.012635326429,23.2,14.4,8.9236491675,2.207,1733.0,41.263976843,25.805961533,14.336366243,18.057944173,6.1322452898,8.2785181563
24047,0.4882,32.2,7.3,16.5,28.31711632,0.0,0.032587442971999996,0.0088585558243,13.7,14.6,,4.5788525593,79.850979314,6.0310399019,6.6830812522,366.0,0.012126189538000001,23.0,11.5,6.6324740339,2.387,1191.0,51.448157971,35.526878377,14.749930665,15.595291987,8.2366635893,7.6279220955
24510,0.8682,37.4,8.6,33.8,49.150639703,0.0,0.12367320646,0.043677295917,15.5,16.2,0.043192329306,6.211128334,71.806218052,1.8111100899,11.907742766,170.0,0.0094990207074,25.3,17.1,14.844842130000002,4.085,804.0,67.550457023,0.0,20.388595244,21.397653849,7.6472389875,6.3426089754
25001,0.0961,26.2,6.1,11.3,22.079100676,0.0,0.039088946114999995,0.0036541248980000002,8.6,14.2,0.001135958154,4.5326930181,79.548847279,9.1467361409,6.5198741779,194.0,0.0074171385348000005,15.8,9.2,7.219498826400001,1.958,1025.0,59.195788109,7.483046765,15.773852915,16.856612775,6.7150909511,3.3398213796
25003,0.367,24.7,7.2,15.4,27.034306776,0.0,0.045229245762,0.005881614232899999,10.3,15.0,0.0023712148072,4.9651482846,78.017427254,6.012801394,8.1971953159,106.0,0.010614009136999999,19.6,11.1,8.489094934299999,2.387,853.0,66.277054825,31.593747857,14.432441355,15.488461188,6.6623049181,3.2584345177
25005,0.5875,27.4,6.7,15.3,28.309657545,1.0,0.045459798444,0.0043681909049,11.0,15.7,0.0019863618433,5.4145795079,78.303224589,4.0967603483,8.1497572195,183.0,0.0086585003426,22.6,13.1,7.361801859300001,3.853,1934.0,53.393420672,9.8343015038,15.138825097,16.07085494,6.5455504478,3.7687256153
