comid,s2
13585170,9790871099376926720
13585170,9790871202456141824
13585170,9790873813796257792
13585172,9790871099376926720
13585172,9790871202456141824
13585178,9790871099376926720
13585192,9790871202456141824
13585260,9790876940532449280
13585300,9790911678227939328
13585490,9790873745076781056
13585490,9790873813796257792
13585546,9790871099376926720
13585548,9790871202456141824
13585550,9790871202456141824
13585552,9790871202456141824
13585556,9790880445225762816
13585558,9790911678227939328
13585560,9790911678227939328
13585562,9790911678227939328
13586502,9790864055630561280
13586504,9790864055630561280
13586520,9790864055630561280
13597795,9802927622332612608
13597803,9802927622332612608
13597833,9802927622332612608
13597835,9802927622332612608
13604846,9802723044450369536
13604848,9802782349358792704
13604890,9802782349358792704
13604896,9802759843730161664
13604948,9802758847297748992
13604950,9802781937041932288
13604966,9802758847297748992
13604974,9802781937041932288
13604976,9802781937041932288
13605028,9802783655028850688
13605100,9802761218119696384
13605102,9802761218119696384
13605104,9802761218119696384
13605172,9802748779894407168
13605212,9802748882973622272
13605214,9802748882973622272
13605214,9802750704039755776
13605220,9802748882973622272
13605312,9802751975350075392
13605322,9802751975350075392
13605336,9802751975350075392
13605338,9802751975350075392
13605352,9802751975350075392
13605352,9802752009709813760
13605384,9802752009709813760
13605406,9802752009709813760
13605406,9802752078429290496
13605410,9802752078429290496
13605412,9802752078429290496
13605792,9802800937977249792
13605890,9802793103956901888
13605922,9802793103956901888
13605924,9802915699503398912
13606040,9802748230138593280
13606040,9802748298858070016
13606044,9802760737083359232
13606068,9802800937977249792
13606098,9802758847297748992
13606100,9802758847297748992
13606284,9802783655028850688
13607670,9790942567632732160
13607694,9790942567632732160
13607914,9790944766655987712
13607916,9790944766655987712
13607918,9790944766655987712
13607984,9790937344952500224
13608366,9790954524821684224
13608986,9790954524821684224
13608990,9790954524821684224
13609004,9790790525790453760
13609006,9790790525790453760
13609008,9790790525790453760
13609012,9790790525790453760
13632059,9801770283265163264
13632061,9801911364350902272
13632063,9801911364350902272
13632067,9801770283265163264
13632071,9801770283265163264
13632071,9801770317624901632
13632089,9801911295631425536
13632091,9801911295631425536
13632091,9801911364350902272
13632095,9801911295631425536
13632097,9801911295631425536
13632107,9801911295631425536
13632109,9801911295631425536
13632125,9801914181849448448
13632127,9801914181849448448
13632137,9801836047804399616
