s2_l13,n_buildings,max_depth,mean_depth,lat,lng
9671073397655732224,1,1.295,1.295,32.7414,-94.2336
9671077761342504960,1,1.295,1.295,32.7393,-94.2325
9671077795702243328,5,1.295,0.6043999999999999,32.73408,-94.23276
9671689948801007616,10,1.132,0.6641,30.36316,-94.78396000000001
9671690223678914560,1,0.695,0.695,30.3875,-94.7633
9671690910873681920,5,0.348,0.1762,30.40278,-94.75314
9671728500427456512,2,0.254,0.17149999999999999,30.5048,-94.3999
9671772274734137344,3,0.395,0.284,30.7874,-94.18126666666667
9671772309093875712,1,0.295,0.295,30.788,-94.1837
9671943558029901824,1,2.865,2.865,30.9831,-94.2184
9671943661109116928,12,1.949,1.03825,30.956608333333335,-94.22848333333333
9671943935987023872,14,2.712,0.6284285714285714,30.93507857142857,-94.20775
9671944245224669184,8,1.782,0.807875,30.911175,-94.21379999999999
9671944691901267968,12,1.879,1.04875,30.912858333333332,-94.21205833333333
9671953247476121600,1,0.662,0.662,30.9906,-94.2851
9671954656225394688,10,4.716,3.7237999999999998,30.969,-94.24087
9671954690585133056,1,3.294,3.294,30.9801,-94.2418
9671955102901993472,1,1.1,1.1,30.9909,-94.2466
9671955137261731840,1,0.115,0.115,30.9878,-94.2338
9671956923968126976,1,1.765,1.765,31.0417,-94.2996
9671958195278446592,2,3.937,2.9459999999999997,31.02245,-94.38245
9672496921616318464,2,0.005,0.005,30.31105,-93.16120000000001
9672610102594502656,1,0.002,0.002,29.979,-93.6885
9672792552805236736,1,0.635,0.635,30.1003,-92.5587
9673503936828407808,1,0.099,0.099,29.9077,-94.6242
9673504314785529856,3,0.099,0.08933333333333333,29.920933333333334,-94.62083333333334
9673507338442506240,1,0.266,0.266,30.0321,-94.6082
9673528194803695616,1,0.029,0.029,29.8098,-94.8016
9673786408237531136,18,0.333,0.08288888888888889,28.79112222222222,-95.64186111111111
9673786442597269504,147,1.395,0.16491836734693877,28.782578231292515,-95.64059115646259
9673786476957007872,146,1.395,0.28861643835616435,28.768889726027396,-95.64049726027397
9673786511316746240,161,1.764,0.23856521739130435,28.772126708074534,-95.63222795031056
9673786545676484608,72,0.505,0.07634722222222222,28.77988888888889,-95.63083611111111
9673786580036222976,6,0.058,0.044833333333333336,28.77808333333333,-95.62436666666667
9673786683115438080,20,1.279,0.60655,28.77697,-95.622775
9673786889273868288,19,1.258,0.7603157894736842,28.765057894736845,-95.63142631578948
9673786923633606656,14,1.209,0.6228571428571429,28.763364285714285,-95.64095
9673787129792036864,18,1.395,0.26305555555555554,28.76801111111111,-95.64636666666667
9673787164151775232,73,0.474,0.18750684931506847,28.784224657534246,-95.6510904109589
9673787198511513600,38,1.395,0.31892105263157894,28.78344210526316,-95.65757631578947
9673788675980263424,3,2.028,1.476,28.8283,-95.67083333333333
9673788847778955264,26,1.495,0.36880769230769234,28.7972,-95.66812692307691
9673788882138693632,15,1.549,0.5912000000000001,28.802053333333333,-95.66765333333333
9673788916498432000,73,1.549,0.503041095890411,28.806053424657534,-95.66257534246576
9673788950858170368,161,1.765,0.4641490683229813,28.795227950310558,-95.66102360248448
9673788985217908736,88,1.549,0.40139772727272727,28.797607954545455,-95.65265795454546
9673789019577647104,96,1.498,0.3560833333333333,28.804528125,-95.65349687499999
9673789053937385472,14,0.957,0.8715,28.812685714285713,-95.65507857142858
9673789088297123840,36,1.484,0.8072777777777778,28.812802777777776,-95.65949444444443
9673789466254245888,2,0.44,0.4235,28.8612,-95.66805
9673789500613984256,1,0.42,0.42,28.8727,-95.6669
9673789672412676096,3,0.562,0.377,28.836433333333332,-95.66796666666666
9673790943722995712,1,0.345,0.345,28.9034,-95.6788
9673790978082734080,2,0.345,0.345,28.90215,-95.67855
9673791424759332864,1,0.123,0.123,28.9089,-95.6449
9673791768356716544,1,0.03,0.03,28.8928,-95.6243
9673793623782588416,27,0.242,0.20774074074074075,28.92987037037037,-95.5453888888889
9673794036099448832,23,0.245,0.2421304347826087,28.917804347826088,-95.53539565217392
9673794414056570880,1,0.134,0.134,28.9055,-95.4969
9673794585855262720,1,0.134,0.134,28.9056,-95.4993
9673801011126337536,7,0.563,0.2777142857142857,28.87664285714286,-95.45821428571428
9673801182925029376,7,0.993,0.35314285714285715,28.876414285714286,-95.45492857142857
9673804584539127808,2,0.858,0.4305,29.03485,-95.39855
9673804653258604544,1,0.263,0.263,29.0436,-95.413
9673804790697558016,1,0.403,0.403,29.0479,-95.4342
9673805031215726592,1,0.088,0.088,29.0567,-95.4145
9673805203014418432,6,0.182,0.08800000000000001,29.093766666666667,-95.406
9673805237374156800,4,0.182,0.182,29.096275,-95.403625
9673805306093633536,5,0.17,0.0634,29.11522,-95.39816
9673805374813110272,2,0.182,0.182,29.10055,-95.40559999999999
