chemical,disease,doid,mondo,corroboration_score,n_independent_sources,aop_anchored,mediating_targets,sources,ehr_phenotypes_in_oard
BPS,polycystic ovary syndrome,DOID_11612,MONDO_0008487,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPS,prostate cancer,DOID_10283,MONDO_0008315,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,1
BPS,uterine cancer,DOID_363,MONDO_0002715,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPS,psoriasis,DOID_8893,MONDO_0005083,5,5,0,ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,arteriosclerosis,DOID_2349,MONDO_0002277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,breast cancer,DOID_1612,MONDO_0007254,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,breast carcinoma,DOID_3459,MONDO_0004989,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,colorectal cancer,DOID_9256,MONDO_0005575,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,dermatitis,DOID_2723,MONDO_0002406,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,diabetes mellitus,DOID_9351,MONDO_0005015,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,endometriosis,DOID_289,MONDO_0005133,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,liver cancer,DOID_3571,MONDO_0002691,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,liver disease,DOID_409,MONDO_0005154,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,lung cancer,DOID_1324,MONDO_0008903,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,major depressive disorder,DOID_1470,MONDO_0002009,5,5,0,ESR1|ESR2,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,migraine,DOID_6364,MONDO_0005277,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,nervous system disease,DOID_863,MONDO_0005071,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
BPZ,nutrition disease,DOID_374,MONDO_0005137,5,5,0,ESR1,assay_activity|disease_assoc|expression|protein_annot|rare_disease,0
