category	K	k	n	N	expected	fold	p	fdr	label	id	family	threshold
http://purl.obolibrary.org/obo/GO_1902017	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	regulation of cilium assembly	GO_1902017	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_1902531	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	regulation of intracellular signal transduction	GO_1902531	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0035176	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	social behavior	GO_0035176	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0008016	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	regulation of heart contraction	GO_0008016	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0019229	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	regulation of vasoconstriction	GO_0019229	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0001975	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	response to amphetamine	GO_0001975	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_1900034	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	regulation of cellular response to heat	GO_1900034	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_1901838	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	positive regulation of transcription of nucleolar large rRNA by RNA polymerase I	GO_1901838	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0018107	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	peptidyl-threonine phosphorylation	GO_0018107	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0035987	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	endodermal cell differentiation	GO_0035987	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0034383	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	low-density lipoprotein particle clearance	GO_0034383	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0034612	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	response to tumor necrosis factor	GO_0034612	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0034243	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	regulation of transcription elongation by RNA polymerase II	GO_0034243	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0042176	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	regulation of protein catabolic process	GO_0042176	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
http://purl.obolibrary.org/obo/GO_0032981	5	5	1560	2160	3.61	1.38	0.19614608159017602	0.9999561234632744	mitochondrial respiratory chain complex I assembly	GO_0032981	GO	paper's rule   FC >= 1.2 (|log2FC| >= 0.263)
