humanSymbol	symbol	hEntrez	direction	l2fc_WT	p_WT	l2fc_KO	p_KO	n_arms	both_samedir	nrf2_dependent	bone_role	bone_evidence	digcfde_bonecat	rdkg_pheno	osteoarthritis	specificity	nTissues	priority	tier
XBP1	Xbp1	7494	↑	0.452612	1.94641e-07	0.2788	0.00250711	2	True	False		gwas_strong	BMD|fracture		False			43.0	B
OSTF1	Ostf1	26578	↑	0.451313	3.14542e-05	0.334666	0.00308771	2	True	False		gwas_strong	BMD|fracture		False			43.0	B
UVSSA	Uvssa	57654	↓	-0.309194	0.0294866	-0.442928	0.000976206	2	True	False		gwas_strong	BMD|fracture		False			43.0	B
PFDN5	Pfdn5	5204	↑	0.437466	0.0062965	0.383091	0.0180137	2	True	False		gwas_strong	BMD|osteoporosis		False			42.9	B
EZH2	Ezh2	2146	↓	-0.435836	7.20764e-06	-0.261382	0.0116554	2	True	False		gwas_strong	BMD|fracture		False			42.9	B
TLR4	Tlr4	7099	↑	0.435745	0.000495103	0.363723	0.00418504	2	True	False		gwas_strong	BMD|fracture		False			42.9	B
E2F1	E2f1	1869	↓	-0.354571	0.000302297	-0.433827	6.61726e-06	2	True	False		gwas_strong	BMD|fracture		False			42.9	B
CDK5RAP2	Cdk5rap2	55755	↓	-0.432608	0.00864617	-0.397038	0.0168903	2	True	False		gwas_strong	osteoporosis		False			42.9	B
CDC42	Cdc42	998	↑	0.430577	5.45416e-07	0.389705	7.10034e-06	2	True	False		gwas_strong	BMD|fracture		False			42.9	B
SNX10	Snx10	29887	↑	0.429839	8.21225e-05	0.394077	0.0003227	2	True	False		gwas_strong	BMD|fracture		False			42.9	B
CNNM2	Cnnm2	54805	↓	-0.421784	0.0110531	-0.401689	0.0151593	2	True	False		gwas_strong	BMD|fracture		False			42.8	B
HSD17B12	Hsd17b12	51144	↑	0.42019	1.11563e-06	0.394835	4.80468e-06	2	True	False		gwas_strong	osteoporosis		False			42.8	B
ARL4A	Arl4a	10124	↓	-0.400411	0.0457672	-0.414572	0.0350968	2	True	False		gwas_strong	fracture		False			42.8	B
CCDC91	Ccdc91	55297	↑	0.368229	0.0377505	0.406482	0.0168326	2	True	False		gwas_strong	BMD|fracture		False			42.7	B
PDE8A	Pde8a	5151	↑	0.398218	0.00879437	0.34819	0.0310005	2	True	False		gwas_strong	BMD|fracture		False			42.7	B
TMEM131L	Tmem131l	23240	↓	-0.39688	0.00908189	-0.330599	0.0350364	2	True	False		gwas_strong	fracture		False			42.6	B
GABPB2	Gabpb2	126626	↓	-0.395373	6.42836e-05	-0.279784	0.00712042	2	True	False		gwas_strong	osteoporosis		False			42.6	B
HSBP1	Hsbp1	3281	↑	0.281434	0.0128373	0.392664	0.000227923	2	True	False		gwas_strong	osteoporosis		False			42.6	B
RFLNB	Rflnb	359845	↑	0.382856	0.0237218	0.390968	0.0201077	2	True	False		gwas_strong	BMD|fracture		False			42.6	B
SLX4	Slx4	84464	↓	-0.386687	0.00244631	-0.389953	0.00285286	2	True	False		gwas_strong	BMD|fracture		False			42.6	B
PITRM1	Pitrm1	10531	↓	-0.387941	0.00525642	-0.329891	0.0210012	2	True	False		gwas_strong	osteoporosis		False			42.6	B
HMMR	Hmmr	3161	↓	-0.380407	0.0186312	-0.382698	0.0171104	2	True	False		gwas_strong	BMD|fracture		False			42.6	B
KCNG1	Kcng1	3755	↓			-1.41765	0.0116806	1		True		gwas_strong	osteoporosis		False			42.5	B
IBTK	Ibtk	25998	↓	-0.380412	0.000693583	-0.322677	0.00480794	2	True	False		gwas_strong	fracture		False			42.5	B
C5orf22	6030458C11Rik	55322	↓	-0.372908	0.00465673	-0.337594	0.0106139	2	True	False		gwas_strong	fracture		False			42.5	B
PAM16	Pam16	51025	↑	0.371903	0.0276578	0.35594	0.0311467	2	True	False		gwas_strong	fracture		False			42.5	B
SFR1	Sfr1	119392	↑	0.184392	0.0367854	0.369888	7.93871e-06	2	True	False		gwas_strong	osteoporosis		False			42.5	B
DCTN3	Dctn3	11258	↑	0.301519	0.0319101	0.369586	0.00607964	2	True	False		gwas_strong	osteoporosis		False			42.5	B
LIMD1	Limd1	8994	↓	-0.26232	0.0138963	-0.35534	0.000507848	2	True	False		gwas_strong	BMD|fracture		False			42.4	B
ZNF462	Zfp462	58499	↓			-1.39507	0.0487747	1		True		gwas_strong	BMD|osteoporosis		False			42.3	B
SP140	Sp140	11262	↑	0.219519	0.0160223	0.351652	3.61094e-05	2	True	False		gwas_strong	osteoporosis		False			42.3	B
MMP2	Mmp2	4313	↓			-1.37821	0.043091	1		True		gwas_strong	BMD|fracture|osteolysis_necrosis		False			42.2	B
TANGO2	Tango2	128989	↓	-0.335622	0.00597686	-0.321479	0.00745523	2	True	False		gwas_strong	BMD|fracture		False			42.2	B
NBR1	Nbr1	4077	↓	-0.322427	0.00525642	-0.333375	0.00378138	2	True	False		gwas_strong	BMD|fracture		False			42.2	B
