hEntrez,humanSymbol,mouse_symbols,log2fc,log2fc_mean,adj_p_value,n_mouse_map,sign_flip,assay,osd,tissue,organism
112802,KRT71,Krt71,7.8718,7.8718,0.00389025,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
3886,KRT35,Krt35,7.6454,7.6454,0.0439383,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
3852,KRT5,Krt5,7.4504,7.4504,0.0109859,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
23464,GCAT,Gcat,-6.4499,-6.4499,4.14885e-06,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
1825,DSC3,Dsc3,6.1885,6.1885,0.0414824,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
5317,PKP1,Pkp1,6.0118,6.0118,0.0117847,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
6690,SPINK1,Spink1,5.6509,5.6509,0.000317918,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
9119,KRT75,Krt75,5.0762,5.0762,0.00850191,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
221301,CALHM4,Calhm4,4.9354,4.9354,0.0105917,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
11166,SOX21,Sox21,4.7561,4.7561,0.0138424,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
4488,MSX2,Msx2,4.6886,4.6886,0.00517902,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
54845,ESRP1,Esrp1,4.4032,4.4032,0.00266902,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
80740,LY6G6C,Ly6g6c,4.3958,4.3958,0.0131576,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
57402,S100A14,S100a14,4.3323,4.3323,0.00849685,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
162605,KRT28,Krt28,4.229,4.229,0.0142268,1,False,https://purl.org/okn/frink/kg/spoke-genelab/node/OSD-104-ec6e344401cc5008b3cb12c08cad9c7f,OSD-104,soleus,Mus musculus
