hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
81876	RAB1B	Rab1b	76308	0.508727	0.508727	0.000128857	1			False	False	True
81889	FAHD1	Fahd1	68636	-0.650189	-0.650189	9.69083e-05	1			False	False	True
81892	SLIRP	Slirp	380773	0.473273	0.473273	0.030487	1			False	False	True
820	CAMP	Camp	12796	0.723607	0.723607	3.15327e-05	1			False	False	True
8204	NRIP1	Nrip1	268903	-0.547758	-0.547758	0.00104916	1	osteoporosis		False	True	True
822	CAPG	Capg	12332	0.479813	0.479813	0.0105143	1			False	False	True
826	CAPNS1	Capns1	12336	0.359382	0.359382	0.0382894	1			False	False	True
8260	NAA10	Naa10	56292	0.327844	0.327844	0.0344557	1	BMD|fracture		False	True	True
8273	SLC10A3	Slc10a3	214601	0.480246	0.480246	0.00053537	1			False	False	True
8288	EPX	Epx	13861	0.865257	0.865257	0.000597745	1			False	False	True
829	CAPZA1	Capza1	12340	0.388564	0.388564	0.000219699	1			False	False	True
8294	H4C9	H4c4	319156	0.409474	0.409474	0.010756	1		Osteoporosis|Osteopenia	False	True	True
830	CAPZA2	Capza2	12343	0.509973	0.509973	0.000366035	1			False	False	True
8301	PICALM	Picalm	233489	-0.377467	-0.377467	0.0268977	1			False	False	True
8317	CDC7	Cdc7	12545	-0.316147	-0.316147	0.0281128	1			False	False	True
832	CAPZB	Capzb	12345	0.398199	0.398199	5.57908e-05	1	BMD		False	True	True
8328	GFI1B	Gfi1b	14582	-0.702117	-0.702117	0.00180413	1			False	False	True
833	CARS1	Cars	27267	-0.433204	-0.433204	0.0111525	1			False	False	True
8335	H2AC4	H2ac24	319171	0.696839	0.5496639999999999	2.0088e-05	4			False	False	True
834	CASP1	Casp1	12362	0.427831	0.427831	0.000555215	1			False	False	True
83442	SH3BGRL3	Sh3bgrl3	73723	0.410514	0.410514	0.000665441	1			False	False	True
83443	SF3B5	Sf3b5	66125	0.46639	0.46639	0.00317941	1			False	False	True
83451	ABHD11	Abhd11	68758	0.54034	0.54034	8.45651e-05	1			False	False	True
83460	EMC6	Emc6	66048	0.313008	0.313008	0.0160254	1			False	False	True
83461	CDCA3	Cdca3	14793	-0.31651	-0.31651	0.0296217	1			False	False	True
