hEntrez	humanSymbol	symbol	mEntrez	log2fc	log2fc_mean	adj_p_value	n_mouse_map	digcfde_bonecat	rdkg_pheno	osteoarthritis	bone_loss_gene	in_digcfde_bg
2804	GOLGB1	Golgb1	224139	-0.490234	-0.490234	0.00255484	1			False	False	True
2810	SFN	Sfn	55948	-0.512866	-0.512866	0.0400782	1			False	False	True
2811	GP1BA	Gp1ba	14723	-0.806149	-0.806149	0.0429808	1			False	False	True
2812	GP1BB	Gp1bb	14724	-0.758715	-0.758715	0.0237414	1	BMD|fracture		False	True	True
2814	GP5	Gp5	14729	-0.931578	-0.931578	0.0134669	1			False	False	True
2815	GP9	Gp9	54368	-0.641623	-0.641623	0.0413282	1			False	False	True
2817	GPC1	Gpc1	14733	-0.540309	-0.540309	0.0240169	1			False	False	True
28227	PPP2R3B	Ppp2r3d	19054	-0.435107	-0.435107	0.0118054	1			False	False	True
28231	SLCO4A1	Slco4a1	108115	-0.657319	-0.657319	0.00510267	1			False	False	True
2828	GPR4	Gpr4	319197	-1.93146	-1.93146	0.0186741	1			False	False	True
283149	BCL9L	Bcl9l	80288	-0.617645	-0.617645	0.0391573	1	BMD|fracture		False	True	True
28317		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
28318		Ighv7-3	629822	-1.59713	-1.59713	0.012891	1			False	False	True
283209	PGM2L1	Pgm2l1	70974	-0.240631	-0.240631	0.0300993	1		Osteoporosis|Osteopenia	False	True	True
283234	CCDC88B	Ccdc88b	78317	-0.717092	-0.717092	0.0188232	1			False	False	True
283248	RCOR2	Rcor2	104383	-1.27136	-1.27136	0.00836888	1			False	False	True
283337	ZNF740	Zfp740	68744	-0.208747	-0.208747	0.0226626	1			False	False	True
283349	RASSF3	Rassf3	192678	0.277402	0.277402	0.0458045	1			False	False	True
283373	ANKRD52	Ankrd52	237615	-0.584118	-0.584118	0.00983298	1			False	False	True
283377	SPRYD4	Spryd4	66701	0.410374	0.410374	0.0135141	1			False	False	True
283431	GAS2L3	Gas2l3	237436	-0.319133	-0.319133	0.0246509	1			False	False	True
283450	HECTD4	Hectd4	269700	-0.833414	-0.833414	5.15448e-06	1			False	False	True
283458		Nme2	18103	0.530498	0.530498	0.0130205	1			False	False	True
2835	GPR12	Gpr12	14738	-1.39448	-1.39448	0.0437269	1			False	False	True
283643	TEDC1	Tedc1	104732	-0.474071	-0.474071	0.0428015	1			False	False	True
283768		Golga2	99412	-0.516335	-0.516335	0.00812759	1			False	False	False
28378	IGHV7-81	Ighv9-2	629818	2.63177	2.63177	0.0325348	1			False	False	True
28385		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
283871	PGP	Pgp	67078	-0.258485	-0.258485	0.0227692	1			False	False	True
28391		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
28392		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
283927	NUDT7	Nudt7	67528	0.40372	0.40372	0.0205322	1			False	False	True
28394		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
283948	NHLRC4	Nhlrc4	621239	-0.727878	-0.727878	0.0132077	1			False	False	True
28395		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
28396		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
28400		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
284001	CCDC57	Ccdc57	71276	-0.518182	-0.518182	0.0220083	1			False	False	True
284004	HEXD	Hexdc	238023	-0.381461	-0.381461	0.0353112	1			False	False	True
28401		Ighv2-2	777686	-1.23671	-1.23671	0.0352637	1			False	False	True
284021	MILR1	Milr1	380732	0.431849	0.431849	0.000475263	1			False	False	True
284086	NEK8	Nek8	140859	-0.494397	-0.494397	0.0155008	1			False	False	True
28409		Ighv7-3	629822	-1.59713	-1.59713	0.012891	1			False	False	True
28410	IGHV3-72	Ighv7-3	629822	-1.59713	-1.59713	0.012891	1			False	False	True
284131	ENDOV	Endov	338371	-0.552859	-0.552859	0.00128823	1			False	False	True
284184	NDUFAF8	Ndufaf8	208501	0.494107	0.494107	0.0238172	1			False	False	True
284194		Lgals9	16859	-0.424854	-0.424854	0.0238172	1			False	False	True
28423		Ighv7-3	629822	-1.59713	-1.59713	0.012891	1			False	False	True
284352	PPP1R37	Ppp1r37	232947	-0.610179	-0.610179	2.05861e-05	1			False	False	True
284361	EMC10	Emc10	69683	-0.537968	-0.537968	5.73776e-06	1		Osteoporosis|Osteopenia	False	True	True
284403	WDR62	Wdr62	233064	-0.896679	-0.896679	3.08689e-06	1			False	False	True
284439	SLC25A42	Slc25a42	73095	-0.727414	-0.727414	8.68302e-06	1			False	False	True
28444		Ighv7-3	629822	-1.59713	-1.59713	0.012891	1			False	False	True
28448		Ighv7-3	629822	-1.59713	-1.59713	0.012891	1			False	False	True
28449		Ighv7-3	629822	-1.59713	-1.59713	0.012891	1			False	False	True
28458		Ighv1-55	780932	-1.39799	-1.312135	0.00187294	2			False	False	True
28460		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	False
28461		Ighv1-55	780932	-1.39799	-1.312135	0.00187294	2			False	False	True
284611	FAM102B	Eeig2	329739	0.283341	0.283341	0.00678372	1			False	False	True
28464		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	True
28465		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	True
28466		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	True
28467		Ighv1-55	780932	-1.39799	-1.312135	0.00187294	2			False	False	True
28468		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	True
28472		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	False
28473		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	True
28474		Ighv1-55	780932	-1.39799	-1.39799	0.00187294	1			False	False	True
284759	SIRPB2	Gm5150	381484	0.452815	0.452815	0.00434209	1			False	False	True
285313	IGSF10	Igsf10	242050	-1.37043	-1.37043	0.0208194	1			False	False	True
285381	DPH3	Dph3	105638	0.383007	0.383007	0.00452617	1			False	False	True
285527	FRYL	Fryl	72313	-0.548956	-0.548956	0.000256323	1			False	False	True
285590	SH3PXD2B	Sh3pxd2b	268396	-0.731511	-0.731511	0.0120705	1	BMD|fracture		False	True	True
285643	KIF4B	Kif4	16571	-0.535867	-0.535867	2.45645e-08	1			False	False	True
2857	GPR34	Gpr34	23890	0.429884	0.429884	0.0181477	1			False	False	True
