fips,indicator,value
19155,food_insecurity,8.6
19157,food_insecurity,8.4
19159,food_insecurity,7.9
19161,food_insecurity,6.7
19163,food_insecurity,8.7
19165,food_insecurity,6.8
19167,food_insecurity,3.8
19169,food_insecurity,7.3
19171,food_insecurity,8.2
19173,food_insecurity,6.1
19175,food_insecurity,9.8
19177,food_insecurity,9.4
19179,food_insecurity,11.1
19181,food_insecurity,5.7
19183,food_insecurity,7.0
19185,food_insecurity,9.6
19187,food_insecurity,10.1
19189,food_insecurity,7.6
19191,food_insecurity,7.1
19193,food_insecurity,8.3
19195,food_insecurity,6.7
19197,food_insecurity,8.5
20001,food_insecurity,13.3
20003,food_insecurity,11.7
20005,food_insecurity,12.2
20007,food_insecurity,13.6
20009,food_insecurity,11.5
20011,food_insecurity,12.8
20013,food_insecurity,12.4
20015,food_insecurity,10.5
20017,food_insecurity,9.3
20019,food_insecurity,16.0
20021,food_insecurity,13.4
20023,food_insecurity,9.6
20025,food_insecurity,10.1
20027,food_insecurity,10.2
20029,food_insecurity,10.4
20031,food_insecurity,11.5
20033,food_insecurity,10.6
20035,food_insecurity,12.7
20037,food_insecurity,14.3
20039,food_insecurity,13.3
20041,food_insecurity,10.6
20043,food_insecurity,11.5
20045,food_insecurity,11.5
20047,food_insecurity,8.1
20049,food_insecurity,13.5
20051,food_insecurity,9.8
20053,food_insecurity,8.8
20055,food_insecurity,8.0
20057,food_insecurity,7.4
20059,food_insecurity,11.1
20061,food_insecurity,13.3
20063,food_insecurity,9.7
20065,food_insecurity,10.6
20067,food_insecurity,7.6
20069,food_insecurity,4.7
20071,food_insecurity,9.6
20073,food_insecurity,12.3
20075,food_insecurity,6.3
20077,food_insecurity,12.5
20079,food_insecurity,10.3
20081,food_insecurity,6.7
20083,food_insecurity,9.0
20085,food_insecurity,11.0
20087,food_insecurity,8.2
20089,food_insecurity,11.9
20091,food_insecurity,7.2
20093,food_insecurity,10.5
20095,food_insecurity,9.2
20097,food_insecurity,9.0
