sym,goid,goLabel
PGR,GO_0010628,positive regulation of gene expression
CCL2,GO_0010628,positive regulation of gene expression
CSF1,GO_0010628,positive regulation of gene expression
AR,GO_0010628,positive regulation of gene expression
EZR,GO_0010628,positive regulation of gene expression
SP1,GO_0010628,positive regulation of gene expression
EGR1,GO_0010628,positive regulation of gene expression
PAX6,GO_0010628,positive regulation of gene expression
CEBPB,GO_0010628,positive regulation of gene expression
PPARG,GO_0010628,positive regulation of gene expression
ACTA1,GO_0010628,positive regulation of gene expression
NFE2L2,GO_0010628,positive regulation of gene expression
HIF1A,GO_0010628,positive regulation of gene expression
HSF1,GO_0010628,positive regulation of gene expression
PPARD,GO_0010628,positive regulation of gene expression
LDLR,GO_0010629,negative regulation of gene expression
TNF,GO_0010629,negative regulation of gene expression
ESR1,GO_0010629,negative regulation of gene expression
TGFB1,GO_0010629,negative regulation of gene expression
PGR,GO_0010629,negative regulation of gene expression
PPARG,GO_0010629,negative regulation of gene expression
KDR,GO_0010629,negative regulation of gene expression
OPRD1,GO_0010629,negative regulation of gene expression
SHH,GO_0010629,negative regulation of gene expression
PIK3CA,GO_0010629,negative regulation of gene expression
HIF1A,GO_0010629,negative regulation of gene expression
PRKAA1,GO_0010629,negative regulation of gene expression
SRC,GO_0010632,regulation of epithelial cell migration
SRC,GO_0010634,positive regulation of epithelial cell migration
HIF1A,GO_0010634,positive regulation of epithelial cell migration
F3,GO_0010641,positive regulation of platelet-derived growth factor receptor signaling pathway
HTR6,GO_0010647,positive regulation of cell communication
PTEN,GO_0010648,negative regulation of cell communication
ADRB2,GO_0010666,positive regulation of cardiac muscle cell apoptotic process
ADRB1,GO_0010666,positive regulation of cardiac muscle cell apoptotic process
ADRB2,GO_0010667,negative regulation of cardiac muscle cell apoptotic process
NFE2L2,GO_0010667,negative regulation of cardiac muscle cell apoptotic process
ADRA2C,GO_0010700,negative regulation of norepinephrine secretion
TGFB1,GO_0010716,negative regulation of extracellular matrix disassembly
COL1A1,GO_0010718,positive regulation of epithelial to mesenchymal transition
TGFB1,GO_0010718,positive regulation of epithelial to mesenchymal transition
IL6,GO_0010718,positive regulation of epithelial to mesenchymal transition
PTEN,GO_0010719,negative regulation of epithelial to mesenchymal transition
TGFB1,GO_0010742,macrophage derived foam cell differentiation
CSF1,GO_0010743,regulation of macrophage derived foam cell differentiation
TNF,GO_0010744,positive regulation of macrophage derived foam cell differentiation
CSF1,GO_0010744,positive regulation of macrophage derived foam cell differentiation
LPL,GO_0010744,positive regulation of macrophage derived foam cell differentiation
PPARG,GO_0010745,negative regulation of macrophage derived foam cell differentiation
PPARA,GO_0010745,negative regulation of macrophage derived foam cell differentiation
PLAU,GO_0010755,regulation of plasminogen activation
PLAUR,GO_0010755,regulation of plasminogen activation
PLAT,GO_0010757,negative regulation of plasminogen activation
SERPINE1,GO_0010757,negative regulation of plasminogen activation
PLAU,GO_0010757,negative regulation of plasminogen activation
CCL2,GO_0010759,positive regulation of macrophage chemotaxis
CSF1,GO_0010759,positive regulation of macrophage chemotaxis
TGFB1,GO_0010763,positive regulation of fibroblast migration
FGF2,GO_0010764,negative regulation of fibroblast migration
EGF,GO_0010800,positive regulation of peptidyl-threonine phosphorylation
NR1H4,GO_0010804,negative regulation of tumor necrosis factor-mediated signaling pathway
XBP1,GO_0010832,negative regulation of myotube differentiation
VDR,GO_0010839,negative regulation of keratinocyte proliferation
LDLR,GO_0010867,positive regulation of triglyceride biosynthetic process
SREBF1,GO_0010867,positive regulation of triglyceride biosynthetic process
LPL,GO_0010884,positive regulation of lipid storage
LPL,GO_0010886,positive regulation of cholesterol storage
PPARG,GO_0010887,negative regulation of cholesterol storage
PPARA,GO_0010887,negative regulation of cholesterol storage
TNF,GO_0010888,negative regulation of lipid storage
IL6,GO_0010888,negative regulation of lipid storage
PPARG,GO_0010888,negative regulation of lipid storage
LDLR,GO_0010899,regulation of phosphatidylcholine catabolic process
RORA,GO_0010906,regulation of glucose metabolic process
PDK4,GO_0010906,regulation of glucose metabolic process
RORC,GO_0010906,regulation of glucose metabolic process
BAX,GO_0010917,negative regulation of mitochondrial membrane potential
TGFB1,GO_0010936,negative regulation of macrophage cytokine production
TIMP1,GO_0010951,negative regulation of endopeptidase activity
CCND1,GO_0010971,positive regulation of G2/M transition of mitotic cell cycle
PTEN,GO_0010975,regulation of neuron projection development
NFE2L2,GO_0010976,positive regulation of neuron projection development
CD38,GO_0010977,negative regulation of neuron projection development
PTEN,GO_0010977,negative regulation of neuron projection development
NR1H4,GO_0010988,regulation of low-density lipoprotein particle clearance
LDLR,GO_0010989,negative regulation of low-density lipoprotein particle clearance
TP53,GO_0012501,programmed cell death
TGFB1,GO_0014003,oligodendrocyte development
NR3C1,GO_0014004,microglia differentiation
TGFB1,GO_0014008,positive regulation of microglia differentiation
TSPO,GO_0014012,peripheral nervous system axon regeneration
ADORA2A,GO_0014049,positive regulation of glutamate secretion
ADORA1,GO_0014050,negative regulation of glutamate secretion
ADORA2A,GO_0014057,"positive regulation of acetylcholine secretion, neurotransmission"
ADORA2A,GO_0014061,regulation of norepinephrine secretion
ADORA2A,GO_0014074,response to purine-containing compound
ADORA1,GO_0014074,response to purine-containing compound
FOXO3,GO_0014737,positive regulation of muscle atrophy
TNF,GO_0014823,response to activity
CAT,GO_0014823,response to activity
FOS,GO_0014823,response to activity
IL6,GO_0014823,response to activity
PRKAA1,GO_0014823,response to activity
PIK3CA,GO_0014823,response to activity
PPARD,GO_0014823,response to activity
CD38,GO_0014824,artery smooth muscle contraction
PPARD,GO_0014842,regulation of skeletal muscle satellite cell proliferation
FGF2,GO_0014843,growth factor dependent regulation of skeletal muscle satellite cell proliferation
CAT,GO_0014854,response to inactivity
DRD2,GO_0014854,response to inactivity
FOS,GO_0014856,skeletal muscle cell proliferation
PIK3CA,GO_0014870,response to muscle inactivity
PLAU,GO_0014910,regulation of smooth muscle cell migration
SERPINE1,GO_0014912,negative regulation of smooth muscle cell migration
PPARD,GO_0014912,negative regulation of smooth muscle cell migration
XBP1,GO_0015031,protein transport
SLC22A1,GO_0015695,organic cation transport
SLC22A1,GO_0015697,quaternary ammonium group transport
SLC22A1,GO_0015711,organic anion transport
ABCG2,GO_0015711,organic anion transport
SLCO1B1,GO_0015711,organic anion transport
ABCC3,GO_0015721,bile acid and bile salt transport
ABCB11,GO_0015721,bile acid and bile salt transport
RXRA,GO_0015721,bile acid and bile salt transport
NR1H4,GO_0015721,bile acid and bile salt transport
SLCO1B1,GO_0015721,bile acid and bile salt transport
ABCB11,GO_0015722,canalicular bile acid transport
SLC22A1,GO_0015732,prostaglandin transport
SLCO1B1,GO_0015732,prostaglandin transport
ABCG2,GO_0015747,urate transport
ABCC3,GO_0015779,glucuronoside transport
SLC22A1,GO_0015837,amine transport
SLC22A1,GO_0015844,monoamine transport
SLC22A1,GO_0015847,putrescine transport
SLC22A1,GO_0015848,spermidine transport
SLC22A1,GO_0015870,acetylcholine transport
