chemical,disease,category,genes_ICE_x_rdkg,effect_domain,aop_curated,min_AC50_uM,key_genes,n_evidence_types,tier
BPZ,obesity disorder,Metabolic,5,1,0,0.357,ESR1|NR1I2|NR1I3|PPARD|PPARG,2,B
BPS,liver cancer,Cancer,5,1,0,0.797,AR|ESR1|PPARA|PPARG|SHH,2,B
BPS,breast carcinoma,Hormone-dependent cancer,5,1,0,0.797,AR|CYP19A1|ESR1|ESR2|PGR,2,B
TBu-EBP,breast carcinoma,Hormone-dependent cancer,5,1,0,1.521,IL6|PTEN|RARA|RXRB|TNF,2,B
BPA,thyroid cancer,Thyroid/Endocrine,5,1,0,25.95,PIK3CA|PPARG|SLC5A5|TP53|TSHR,2,B
BPAP,unipolar depression,Neuro-behavioral,5,1,0,0.116,AR|ESR1|ESR2|HIF1A|NR4A2,2,B
BPZ,unipolar depression,Neuro-behavioral,5,1,0,0.18,AR|ESR1|ESR2|HIF1A|NR3C1,2,B
BisGMA,unipolar depression,Neuro-behavioral,5,1,0,10.866,AR|ESR1|HIF1A|NR4A2|RORA,2,B
BPA,ischemia reperfusion injury,Cardiovascular,4,1,0,24.432,FOS|PLAT|PPARA|PPARG,2,B
BisGMA,ischemia reperfusion injury,Cardiovascular,4,1,0,8.065,EGR1|FOS|PPARA|PPARG,2,B
TBu-EBP,non-alcoholic steatohepatitis,Metabolic/Liver,4,1,0,0.08,NR1H4|NR1I2|PTEN|TNF,2,B
BADGE,obesity disorder,Metabolic,4,1,0,6.958,ESR1|NR1I2|PPARG|SREBF1,2,B
BPAP,obesity disorder,Metabolic,4,1,0,0.116,ESR1|NR1I2|NR1I3|SREBF1,2,B
BPS,obesity disorder,Metabolic,4,1,0,0.797,ESR1|NR1I2|PPARA|PPARG,2,B
BPA,type 2 diabetes mellitus,Metabolic,4,1,0,24.432,CYP1A2|PAX6|PPARA|PPARG,2,B
TBu-EBP,prostate cancer,Hormone-dependent cancer,4,1,0,3.201,IL2|IL6|PTEN|RXRA,2,B
BADGE,endometrial carcinoma,Hormone-dependent cancer,4,1,0,43.341,ESR1|ESR2|NFE2L2|PGR,2,B
BPA,endometrial carcinoma,Hormone-dependent cancer,4,1,0,0.098,ESR1|ESR2|NFE2L2|PGR,2,B
BPAP,endometrial carcinoma,Hormone-dependent cancer,4,1,0,0.116,ESR1|ESR2|NFE2L2|PGR,2,B
BPE,endometrial carcinoma,Hormone-dependent cancer,4,1,0,0.247,ESR1|ESR2|NFE2L2|PGR,2,B
BPF,endometrial carcinoma,Hormone-dependent cancer,4,1,0,9.179,ESR1|ESR2|NFE2L2|PGR,2,B
BPZ,endometrial carcinoma,Hormone-dependent cancer,4,1,0,0.18,ESR1|ESR2|NFE2L2|PGR,2,B
BADGE,thyroid cancer,Thyroid/Endocrine,4,1,0,27.079,HIF1A|PPARG|TP53|TSHR,2,B
BPZ,thyroid cancer,Thyroid/Endocrine,4,1,0,6.448,HIF1A|PPARG|TP53|TSHR,2,B
BPF,unipolar depression,Neuro-behavioral,4,1,0,2.087,AR|ESR1|ESR2|HIF1A,2,B
BPS,unipolar depression,Neuro-behavioral,4,1,0,0.797,AR|ESR1|ESR2|NR3C1,2,B
TBu-EBP,unipolar depression,Neuro-behavioral,4,1,0,4.0,IL2|IL6|SELP|TNF,2,B
BPAP,ischemia reperfusion injury,Cardiovascular,3,1,0,5.317,EGR1|FOS|JUN,2,B
BPF,ischemia reperfusion injury,Cardiovascular,3,1,0,2.185,EGR1|PPARA|PPARG,2,B
TBu-EBP,ischemia reperfusion injury,Cardiovascular,3,1,0,5.8,IL6|PTEN|TNF,2,B
TBu-EBP,myocardial ischemia,Cardiovascular,3,1,0,4.0,IL6|SELP|TNF,2,B
BPA,coronary artery disease,Cardiovascular,3,1,0,0.098,ESR1|ESR2|VCAM1,2,B
TBu-EBP,coronary artery disease,Cardiovascular,3,1,0,4.0,IL6|SELP|TNF,2,B
BADGE,brain ischemia,Cardiovascular,3,1,0,24.938,EGR1|HIF1A|TP53,2,B
BPAP,brain ischemia,Cardiovascular,3,1,0,5.317,EGR1|HIF1A|JUN,2,B
BPZ,brain ischemia,Cardiovascular,3,1,0,10.347,HIF1A|JUN|TP53,2,B
BisGMA,brain ischemia,Cardiovascular,3,1,0,33.846,EGR1|HIF1A|TP53,2,B
TBu-EBP,brain ischemia,Cardiovascular,3,1,0,10.0,IL17A|IL6|TNF,2,B
BPS,non-alcoholic steatohepatitis,Metabolic/Liver,3,1,0,9.394,CYP19A1|NR1I2|PPARA,2,B
BPB,type 2 diabetes mellitus,Metabolic,3,1,0,8.904,CYP1A2|PAX6|PPARG,2,B
BPF,type 2 diabetes mellitus,Metabolic,3,1,0,2.185,PAX6|PPARA|PPARG,2,B
BisGMA,type 2 diabetes mellitus,Metabolic,3,1,0,8.065,PAX6|PPARA|PPARG,2,B
BPS,endometrial carcinoma,Hormone-dependent cancer,3,1,0,0.797,ESR1|ESR2|PGR,2,B
BisGMA,endometrial carcinoma,Hormone-dependent cancer,3,1,0,14.362,ESR1|NFE2L2|PGR,2,B
BisGMA,thyroid cancer,Thyroid/Endocrine,3,1,0,8.065,HIF1A|PPARG|TP53,2,B
BPE,unipolar depression,Neuro-behavioral,3,1,0,0.247,AR|ESR1|ESR2,2,B
BADGE,ischemia reperfusion injury,Cardiovascular,2,1,0,24.938,EGR1|PPARG,2,B
BPE,ischemia reperfusion injury,Cardiovascular,2,1,0,35.234,PPARA|PPARG,2,B
BPS,ischemia reperfusion injury,Cardiovascular,2,1,0,7.116,PPARA|PPARG,2,B
BPZ,ischemia reperfusion injury,Cardiovascular,2,1,0,6.448,JUN|PPARG,2,B
BADGE,coronary artery disease,Cardiovascular,2,1,0,43.341,ESR1|ESR2,2,B
BPAP,coronary artery disease,Cardiovascular,2,1,0,0.116,ESR1|ESR2,2,B
BPE,coronary artery disease,Cardiovascular,2,1,0,0.247,ESR1|ESR2,2,B
BPF,coronary artery disease,Cardiovascular,2,1,0,9.179,ESR1|ESR2,2,B
BPS,coronary artery disease,Cardiovascular,2,1,0,0.797,ESR1|ESR2,2,B
BPZ,coronary artery disease,Cardiovascular,2,1,0,0.18,ESR1|ESR2,2,B
BPA,brain ischemia,Cardiovascular,2,1,0,40.0,PLAT|TP53,2,B
BPF,brain ischemia,Cardiovascular,2,1,0,77.82,EGR1|HIF1A,2,B
"3,3-diMe-BPA",type 2 diabetes mellitus,Metabolic,2,1,0,5.363,PAX6|PPARG,2,B
BADGE,type 2 diabetes mellitus,Metabolic,2,1,0,27.079,PAX6|PPARG,2,B
BPE,type 2 diabetes mellitus,Metabolic,2,1,0,35.234,PPARA|PPARG,2,B
