mondo,dlabel,k,K,expected,fold,p,FDR
MONDO_0006003,uterine corpus cancer,10,82,1.5623348017621146,6.400676723530241,3.1820762819194685e-06,6.152014145044306e-06
MONDO_0008159,postmenopausal osteoporosis,9,66,1.257488986784141,7.157120336311087,3.913829762874469e-06,7.442692663826859e-06
MONDO_0005298,osteoporosis,9,66,1.257488986784141,7.157120336311087,3.913829762874469e-06,7.442692663826859e-06
MONDO_0018466,hereditary late onset Parkinson disease,10,85,1.6194933920704846,6.174770486229174,4.430896989247402e-06,8.241126108036248e-06
MONDO_0017636,hemiparkinsonism-hemiatrophy syndrome,10,85,1.6194933920704846,6.174770486229174,4.430896989247402e-06,8.241126108036248e-06
MONDO_0007191,Behcet disease,6,24,0.4572687224669604,13.121387283236993,4.440261911657461e-06,8.241126108036248e-06
MONDO_0010709,early-onset parkinsonism-intellectual disability syndrome,10,86,1.638546255506608,6.1029708294125555,4.9323176416116875e-06,8.870524750805515e-06
MONDO_0014231,juvenile onset Parkinson disease 19A,10,86,1.638546255506608,6.1029708294125555,4.9323176416116875e-06,8.870524750805515e-06
MONDO_0010482,X-linked parkinsonism-spasticity syndrome,10,86,1.638546255506608,6.1029708294125555,4.9323176416116875e-06,8.870524750805515e-06
MONDO_0009830,parkinsonian-pyramidal syndrome,10,86,1.638546255506608,6.1029708294125555,4.9323176416116875e-06,8.870524750805515e-06
MONDO_0021042,glioma,10,87,1.6575991189427313,6.032821739419307,5.482196402298456e-06,9.783612041024938e-06
MONDO_0005531,morphine dependence,13,151,2.8769823788546254,4.518623435286912,5.66793405037405e-06,1.0037867936540303e-05
MONDO_0005292,colitis (disease),6,25,0.4763215859030837,12.596531791907514,5.750695696278228e-06,1.0107283344973854e-05
MONDO_0018321,atypical juvenile parkinsonism,10,88,1.6766519823788546,5.964266946925907,6.084406045050774e-06,1.0613400018434433e-05
MONDO_0007008,uremia,7,38,0.7240088105726872,9.668390629753576,6.189888710658805e-06,1.0637438376835873e-05
MONDO_0001106,kidney failure,7,38,0.7240088105726872,9.668390629753576,6.189888710658805e-06,1.0637438376835873e-05
MONDO_0006474,transitional cell carcinoma,7,41,0.7811674008810573,8.960947412942337,1.0508476540801567e-05,1.7926224687249733e-05
MONDO_0003969,amphetamine abuse,9,75,1.428964757709251,6.298265895953757,1.1465975393170932e-05,1.9416834242450045e-05
MONDO_0013662,Barrett esophagus,6,29,0.552533039647577,10.859079130954754,1.4478827370599184e-05,2.4341217028833415e-05
MONDO_0005534,ileocolitis,7,44,0.8383259911894273,8.34997372569627,1.7070304592764948e-05,2.849144363684509e-05
MONDO_0018177,glioblastoma,12,144,2.743612334801762,4.373795761078998,1.8274671700839747e-05,3.0283741675677293e-05
MONDO_0005148,type 2 diabetes mellitus,15,221,4.21068281938326,3.5623675882091383,1.9645816924813067e-05,3.2325032103238524e-05
MONDO_0002367,kidney cancer,7,45,0.8573788546255506,8.16441875401413,1.9893323779659284e-05,3.250176842873911e-05
MONDO_0005015,diabetes mellitus (disease),15,223,4.248788546255507,3.5304181031130923,2.1853362825102067e-05,3.545440682114461e-05
MONDO_0003699,phobic disorder,7,46,0.876431718061674,7.986931389796432,2.3090806709534488e-05,3.720185525425001e-05
MONDO_0005384,partial epilepsy,10,104,1.9814977973568282,5.046687416629613,2.7066082071150634e-05,4.2716537690523456e-05
MONDO_0006891,partial motor epilepsy,10,104,1.9814977973568282,5.046687416629613,2.7066082071150634e-05,4.2716537690523456e-05
MONDO_0001386,visual epilepsy,10,104,1.9814977973568282,5.046687416629613,2.7066082071150634e-05,4.2716537690523456e-05
MONDO_0020643,autism susceptibility 1,18,321,6.115969162995595,2.9431149046512886,3.825790641309731e-05,5.9172228585590515e-05
MONDO_0005260,autism (disease),18,321,6.115969162995595,2.9431149046512886,3.825790641309731e-05,5.9172228585590515e-05
MONDO_0005258,autism spectrum disorder,18,321,6.115969162995595,2.9431149046512886,3.825790641309731e-05,5.9172228585590515e-05
MONDO_0005532,Crohn's colitis,7,50,0.9526431718061674,7.347976878612717,4.041574705276334e-05,6.209571732609996e-05
MONDO_0002125,status epilepticus,8,68,1.2955947136563877,6.174770486229174,4.123297540404692e-05,6.293454140617688e-05
MONDO_0005575,colorectal cancer,32,819,15.604295154185023,2.0507174264399697,6.301622908988074e-05,9.555402058073419e-05
MONDO_0017347,plasmablastic lymphoma,7,55,1.047907488986784,6.679978980557015,7.579416745476043e-05,0.00011059274748115987
MONDO_0017597,T-cell/histiocyte rich large B cell lymphoma,7,55,1.047907488986784,6.679978980557015,7.579416745476043e-05,0.00011059274748115987
MONDO_0006383,"primary cutaneous diffuse large B-cell lymphoma, Leg type",7,55,1.047907488986784,6.679978980557015,7.579416745476043e-05,0.00011059274748115987
MONDO_0018225,ALK-positive large B-cell lymphoma,7,55,1.047907488986784,6.679978980557015,7.579416745476043e-05,0.00011059274748115987
MONDO_0017346,Epstein-Barr virus-positive diffuse large B-cell lymphoma of the elderly,7,55,1.047907488986784,6.679978980557015,7.579416745476043e-05,0.00011059274748115987
MONDO_0017596,diffuse large B-cell lymphoma of the central nervous system,7,55,1.047907488986784,6.679978980557015,7.579416745476043e-05,0.00011059274748115987
MONDO_0020324,intravascular large B-cell lymphoma,7,56,1.0669603524229074,6.5606936416184976,8.524723480302798e-05,0.00012284073586523285
MONDO_0002571,primary central nervous system lymphoma,7,56,1.0669603524229074,6.5606936416184976,8.524723480302798e-05,0.00012284073586523285
MONDO_0020323,primary mediastinal large B-cell lymphoma,7,57,1.0860132158590308,6.44559375316905,9.563991022850117e-05,0.00013696579736427328
MONDO_0005098,stroke disorder,7,58,1.105066079295154,6.334462826390274,0.00010704156090308358,0.00015235363269641345
MONDO_0005480,contact dermatitis,8,78,1.4861233480176212,5.38313324440492,0.00011126788484781879,0.0001564493896042058
MONDO_0006589,occupational dermatitis,8,78,1.4861233480176212,5.38313324440492,0.00011126788484781879,0.0001564493896042058
MONDO_0024614,neurotic depression,6,41,0.7811674008810573,7.680812068236289,0.00011340252456132101,0.00015754123172590702
MONDO_0002444,melancholia,6,41,0.7811674008810573,7.680812068236289,0.00011340252456132101,0.00015754123172590702
MONDO_0016642,meningioma,7,60,1.1431718061674008,6.1233140655105975,0.00013316551321143063,0.00018280709505947873
MONDO_0006373,pituitary gland adenoma,7,60,1.1431718061674008,6.1233140655105975,0.00013316551321143063,0.00018280709505947873
MONDO_0005101,ulcerative colitis (disease),7,63,1.200330396475771,5.831727681438664,0.000181841635422064,0.0002481603495171697
MONDO_0012819,diabetic ketoacidosis,6,45,0.8573788546255506,6.998073217726398,0.00019288289426721807,0.0002586637657225121
MONDO_0002251,hepatitis,6,45,0.8573788546255506,6.998073217726398,0.00019288289426721807,0.0002586637657225121
MONDO_0009100,IDDM 1,6,45,0.8573788546255506,6.998073217726398,0.00019288289426721807,0.0002586637657225121
